Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.2381196330587594	0.05417140886626931	16.97482712306476	3.8617155952481537	5.617377825939247e-05	5.292535200712035e-07	1.1873038833893123e-07	4.457607925616995
FC.InN	0.014781857018073163	0.2434832544121494	0.052721981791812415	16.471763602803932	3.5666683642895096	1.4522375234449933e-05	5.180333237910853e-07	1.1176372804221565e-07	4.6350755550621265
FC.RG	0.018081047662040217	0.20310995683683464	0.05827918756062595	11.233306865467123	3.2232196192358185	0.001121568992459184	3.27820449041514e-07	9.871956667794276e-08	3.320724148951922
FC.MG	0.006065095730545016	0.08609786889050822	0.036186557671106324	14.19563230583524	5.966362161253893	0.025169223027701432	4.5400708319003235e-07	1.9831900140576123e-07	2.2892767711205475
FC.undef	0.011132734422953657	0.0702834840164823	0.04957331774173794	6.313227401847532	4.452932752938653	0.22885854856911286	1.3941995852984073e-07	1.378748677022179e-07	1.0112064718782536
LGE.InN	0.01745214311512241	0.29179517474729355	0.05736121230377024	16.71973309080023	3.286771826553859	2.2756605574567626e-06	5.188217521695539e-07	1.0453040772774813e-07	4.963357203397093
MGE.InN	0.017914637069737612	0.2665740572903949	0.054146715939450224	14.880237665585	3.0224846715381037	4.583495756022438e-06	4.721638489625782e-07	9.584357651792202e-08	4.9264005592934765
CGE.InN	0.020110518776633873	0.2726152115012918	0.05696693255590078	13.555851767386507	2.8326933376820618	1.1295724303195852e-05	4.2669967144409175e-07	9.221374272546537e-08	4.627289369594757
GE.RG	0.016083114038729716	0.16971897563881727	0.05399443919431822	10.55261905313345	3.357212979047112	0.004230235084443178	3.0198296882288767e-07	1.0677619985527611e-07	2.8281861429063198
GE.Undef	0.004737166044388348	0.15783874162615286	0.03647814579215185	33.31923351370147	7.700415280009849	1.3695038346434328e-05	1.0772106287663036e-06	2.3602497693248694e-07	4.563968791635264
