Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.24073209276575458	0.026419783138907374	17.161061459656704	1.8833862863426603	3.4623245614704617e-16	1.6186416772812193e-07	2.1851420186134163e-08	7.407489597899589
FC.InN	0.014781857018073163	0.21010418623433263	0.024777549547823578	14.213652992140767	1.6762135851760098	9.753208753446111e-14	1.2592973549487935e-07	1.9569148013848564e-08	6.43511589803308
FC.RG	0.018081047662040217	0.18182725241796005	0.029254600812078427	10.056234340872432	1.6179704494389577	3.002355822443647e-08	7.508871337126375e-08	1.862003219789868e-08	4.032684399962408
FC.MG	0.006065095730545016	0.020628059254084494	0.01793529445655882	3.4011102496202206	2.9571329544285914	0.4139296172531599	-1.2667364411016883e-08	3.370637757877965e-08	-0.375815062933129
FC.undef	0.011132734422953657	0.06876242565179339	0.02445399459055723	6.176598043156215	2.196584743828756	0.016525618680001537	2.2855319315495197e-08	2.416216616903079e-08	0.9459135060824716
LGE.InN	0.01745214311512241	0.2590865444472866	0.03051201432748031	14.845543194221586	1.7483247831632451	7.32144318504583e-13	1.3612271324435897e-07	2.0771180785650388e-08	6.553441263117709
MGE.InN	0.017914637069737612	0.22970532211151745	0.026021527275852364	12.822214662643	1.4525288552905913	7.938683799516205e-15	1.1331140710969226e-07	1.647810388425823e-08	6.8764833566767525
CGE.InN	0.020110518776633873	0.23335326963409248	0.030490003027782084	11.603543012785048	1.5161221531096447	5.2840281633214503e-11	9.91284147032294e-08	1.801189017271235e-08	5.503498730711058
GE.RG	0.016083114038729716	0.14865662421657813	0.02515792422562678	9.243024942719327	1.5642445962295628	2.2668674018266052e-07	6.281371749153411e-08	1.844873522754649e-08	3.404770935069013
GE.Undef	0.004737166044388348	0.11089863988200724	0.017796420458837517	23.410334120202073	3.756765182406721	1.6551669963474484e-09	2.1875495884018718e-07	3.9843170111870265e-08	5.490400443186991
