Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.06300228104321795	0.02075591064126698	4.491241714636197	1.4796259778812326	0.019223793123487248	-4.6921660872794315e-08	1.2964962663223004e-07	-0.36191126879134333
FC.InN	0.014781857018073163	0.0479041717967086	0.01847224276307397	3.2407411151479923	1.2496564362981406	0.07423555483132217	-2.447568914247944e-07	1.1120128539705847e-07	-2.2010257395034465
FC.RG	0.018081047662040217	0.10433135113083614	0.025441398735536105	5.770204972683738	1.4070754754409716	0.0008167274026922988	6.094048645448926e-08	1.3038137180090264e-07	0.4674017891723652
FC.MG	0.006065095730545016	0.06732931891190795	0.014618384945400284	11.101113964751494	2.410248015011407	3.286953040675227e-05	4.2893924778980216e-07	2.107018339959497e-07	2.0357641870267136
FC.undef	0.011132734422953657	0.054880556692504565	0.020053858351256233	4.929656507331291	1.8013416640846884	0.028202270908540907	-5.243424704569224e-08	1.68909037072924e-07	-0.31042890276530627
LGE.InN	0.01745214311512241	0.04930399528714263	0.021011323059036534	2.8250968927948086	1.2039394199575448	0.1298838355059481	-2.344572979468641e-07	1.0531285625087061e-07	-2.226293220918371
MGE.InN	0.017914637069737612	0.04505136285344273	0.02129270844043835	2.5147795446856116	1.1885648789618608	0.20234702986681938	-2.9017678803819935e-07	1.0727729715185247e-07	-2.7049226233529184
CGE.InN	0.020110518776633873	0.08235622565604242	0.02394307705905428	4.095181559996899	1.1905748093815163	0.009701988444746928	-1.0968535028851228e-07	1.0707574836452305e-07	-1.0243715497098862
GE.RG	0.016083114038729716	0.11423592962616194	0.024123450071030606	7.102848947726828	1.4999240826707423	6.121450394692465e-05	1.7518355033665922e-07	1.3520175240753883e-07	1.2957195244674284
GE.Undef	0.004737166044388348	0.058328210974660566	0.0170437057940563	12.312891384450461	3.5978696195896047	0.0017500254842447854	4.2905736134174885e-07	3.0894090448192184e-07	1.3888007548280348
