Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.2546984655070581	0.022457854642196642	18.15668185338295	1.6009524087085012	3.6047800739744395e-21	4.999298827543285e-07	5.166665494250514e-08	9.67606444254331
FC.InN	0.014781857018073163	0.22495013580271397	0.022550711885971367	15.217988885136473	1.5255669066748208	1.6064307932336418e-17	4.0220103331274053e-07	4.823842116874302e-08	8.337773574839844
FC.RG	0.018081047662040217	0.22204500691859805	0.022058663186838957	12.280538775679721	1.2199881112613535	2.2362657603546176e-17	3.0795924328227714e-07	4.1116989069732255e-08	7.4898296361145125
FC.MG	0.006065095730545016	0.049431894407709905	0.014218236304621054	8.150224926996808	2.3442723637510317	0.0028280347151787896	1.459164136518933e-07	6.9145197136798e-08	2.110289936164472
FC.undef	0.011132734422953657	0.11832204462208765	0.018391573609556934	10.628300301328423	1.6520266190520887	2.0614467271109397e-08	2.2400173827759107e-07	5.206604225877877e-08	4.3022616768959905
LGE.InN	0.01745214311512241	0.2742015197934161	0.02395042199403075	15.711624525690398	1.3723484752584645	1.929075239619255e-22	4.206427768364542e-07	4.241432829060853e-08	9.917468784471916
MGE.InN	0.017914637069737612	0.22826010103234104	0.02233728514821575	12.741542021966525	1.2468734399285777	3.55268130754776e-18	3.291167620140479e-07	4.070799089227696e-08	8.084819584561892
CGE.InN	0.020110518776633873	0.24654279511619162	0.02316526600567873	12.25939508843731	1.1518979824923326	2.2898379738681847e-19	3.1817018521489e-07	3.722815231921314e-08	8.546494128602914
GE.RG	0.016083114038729716	0.16164119293394416	0.020056407626921843	10.050366648193647	1.2470475293916368	5.601272203854766e-12	2.2438141880360963e-07	3.973975418833538e-08	5.646270929110861
GE.Undef	0.004737166044388348	0.12062418264085321	0.015999270326509912	25.46336385733085	3.3773927653354403	6.19607058152164e-12	6.863366651913728e-07	9.819372448097395e-08	6.9896184182763905
