Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.21344769933737273	0.031271425312055616	15.216039725601798	2.2292451560807938	1.834195538253919e-09	1.1664029838189277e-07	1.9216138669096927e-08	6.06991344049113
FC.InN	0.014781857018073163	0.22570171214748383	0.026936765433348275	15.268833399722897	1.822285616781018	1.7398731651184729e-12	1.1629421042108471e-07	1.6783793773952397e-08	6.928958493375167
FC.RG	0.018081047662040217	0.19810979181540814	0.029960243147884643	10.956765090074098	1.6569970782602323	1.491172268616189e-08	7.631711489835952e-08	1.5365273890376837e-08	4.966856786468114
FC.MG	0.006065095730545016	0.02590957179741099	0.01756192991996178	4.271914731192994	2.8955734089268277	0.26005064773445813	1.9820836352059547e-08	2.42160083320014e-08	0.8185013847169171
FC.undef	0.011132734422953657	0.09175753297356258	0.022068444966753153	8.242137958880559	1.9823022923507514	0.0003509902496692586	4.79723114433908e-08	1.6923642604822792e-08	2.8346327421095476
LGE.InN	0.01745214311512241	0.25588831743668705	0.03064257466942796	14.662286216009651	1.755805832400947	3.5956039764442904e-13	1.0891022699881883e-07	1.5098333437115314e-08	7.213393945260968
MGE.InN	0.017914637069737612	0.23029234085490832	0.028087356403062366	12.854982211385726	1.5678440089924606	6.0912866993718465e-12	9.572236869804317e-08	1.4490467476241857e-08	6.605885479884396
CGE.InN	0.020110518776633873	0.24519055581868976	0.0317175481774888	12.1921546898916	1.5771621075405062	3.1752403152691536e-11	9.04071019537067e-08	1.4240441852209108e-08	6.348616348563786
GE.RG	0.016083114038729716	0.14485499263565654	0.02668516610473246	9.006650844284975	1.6592039352871566	4.060955080418717e-06	5.751323827863973e-08	1.5141995461522375e-08	3.7982601715069695
GE.Undef	0.004737166044388348	0.06673370119990088	0.018185874634663753	14.087262421158679	3.838977663915066	0.0007496754441455898	1.0458388830505617e-07	3.248155732395944e-08	3.2197929200861237
