Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN	0.014027809021701988	0.2822711116380785	0.02715904210269283	20.12225224918486	1.9360858178690572	5.099621335148385e-18	9.505574016802472e-07	1.0582001158231934e-07	8.9827754454628
FC.InN	0.014781857018073163	0.25336167059883513	0.02471787847782706	17.14004338487785	1.6721768075286845	2.1833136131948023e-17	7.925317570282375e-07	9.249027563448444e-08	8.568811711192986
FC.RG	0.018081047662040217	0.19898091780230942	0.023878808459494992	11.004944045363848	1.3206540298893594	5.794982831453242e-12	4.309580105653274e-07	7.337719834515581e-08	5.873187042903474
FC.MG	0.006065095730545016	0.04333484914248341	0.013675336264955904	7.144957156115537	2.2547601674420763	0.006695420836179225	2.239787899863107e-07	1.1246585091909839e-07	1.9915271005011865
FC.undef	0.011132734422953657	0.1257719660317546	0.020264704708362908	11.297490917634384	1.8202809784612128	5.3382172237787e-08	4.177261661886521e-07	9.157367822690875e-08	4.561640138049015
LGE.InN	0.01745214311512241	0.27427516906454447	0.028644324257701023	15.71584459600741	1.6413069769569162	1.0786027091566046e-14	7.089021577298825e-07	9.575389596798413e-08	7.403376651816945
MGE.InN	0.017914637069737612	0.2543264548467297	0.024457774374120046	14.196573107046188	1.3652397354694648	5.237410596297534e-17	6.390895725905728e-07	7.680033424746424e-08	8.321442593352696
CGE.InN	0.020110518776633873	0.252363988835054	0.028661649744099224	12.548855235314575	1.4252068811571779	4.046248360310841e-13	5.440409329734445e-07	8.158252398332607e-08	6.668596488687164
GE.RG	0.016083114038729716	0.17102207692095417	0.02114164925715146	10.633641999249413	1.3145246129723567	7.0842065723730365e-12	4.066408710712675e-07	6.997596756636881e-08	5.811150387961243
GE.Undef	0.004737166044388348	0.13474674620866373	0.014232497419329049	28.44459006630871	3.004432879482635	1.1962193865716686e-17	1.3749008672424175e-06	1.509042678952909e-07	9.111080066976173
