Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE.InN_vs_GE.UNION	0.020110518776633873	0.2964457587283693	0.05679447085708013	14.740831005951247	2.824117641513496	1.2294768373710076e-06	3.6054833950169777e-07	1.6624116850045477e-07	2.1688270285510622
FC.ExN_vs_FC.UNION	0.014027809021701988	0.278891554290179	0.05000016194844117	19.88133384612768	3.564360041620717	5.3661764053963654e-08	5.539946236810385e-07	1.6931324623613317e-07	3.2720099342281137
FC.InN_vs_FC.UNION	0.014781857018073163	0.25758726044855895	0.04380793340240625	17.425906645803547	2.9636285446980106	2.291247426971558e-08	4.014388429192895e-07	1.5774032671224306e-07	2.5449347753134313
FC.MG_vs_FC.UNION	0.006065095730545016	0.06733330090674945	0.03270624598733648	11.101770507536376	5.392535821425107	0.05306688258335877	5.3826252800717824e-08	2.2283610290956404e-07	0.24155086226114225
FC.RG_vs_FC.UNION	0.018081047662040217	0.15199406071236987	0.05310644475061148	8.406264036982206	2.937133165248185	0.011830237891261842	-3.189937645195626e-07	1.7095209941902333e-07	-1.8659833111360165
FC.undef_vs_FC.UNION	0.011132734422953657	0.11516576263707762	0.0420013830410189	10.344786668010954	3.7727822694143995	0.013339010422265022	8.343390867518017e-08	1.5715030149095507e-07	0.5309179039658558
GE.RG_vs_GE.UNION	0.016083114038729716	0.15724359515436717	0.047102294610136666	9.776937151332085	2.928680011638898	0.003600070654586982	-4.986809474813166e-08	1.4583208104191157e-07	-0.3419555861223688
GE.Undef_vs_GE.UNION	0.004737166044388348	0.10855985484542534	0.028769524606074005	22.916624375880904	6.073150980247866	0.0002829572234085173	6.49311957610254e-07	2.512245577433626e-07	2.5845879218287093
LGE.InN_vs_GE.UNION	0.01745214311512241	0.2429792651000724	0.04631629782788367	13.92260328701574	2.6539031637753565	7.02362508072717e-07	2.1498095261447592e-07	1.4918382021062306e-07	1.4410473757204911
MGE.InN_vs_GE.UNION	0.017914637069737612	0.29328999062252253	0.05249953101241746	16.371528459148305	2.930538352970742	3.84575383404448e-08	4.634539552042541e-07	1.6301195707591883e-07	2.8430672419227
