Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE.InN_vs_GE.UNION	0.020110518776633873	0.20086970792360445	0.029755475905403575	9.98829071266884	1.4795976292752846	6.289043618362856e-09	4.753390602947952e-09	2.5801273510713597e-08	0.18423085205364675
FC.ExN_vs_FC.UNION	0.014027809021701988	0.23548851029753068	0.026316459920821947	16.78726235388675	1.8760206872012992	1.1980047870426434e-15	1.3775378107228744e-07	2.697802276685719e-08	5.106148151135803
FC.InN_vs_FC.UNION	0.014781857018073163	0.20098857933781875	0.024830908559732048	13.596977639012362	1.6798233489454217	1.2575295995251882e-12	8.11026183632073e-08	2.6259854026145827e-08	3.0884641735805864
FC.MG_vs_FC.UNION	0.006065095730545016	0.02070529277212696	0.01752676579940123	3.4138443467348796	2.8897756240075463	0.40062527677980553	-7.779218950085878e-08	3.524119442534708e-08	-2.2074220459709246
FC.RG_vs_FC.UNION	0.018081047662040217	0.16183306866183983	0.029080614367985782	8.950425422615087	1.6083478629968062	8.248263811927431e-07	-2.2359092051692755e-08	2.7462356866836262e-08	-0.8141723654714339
FC.undef_vs_FC.UNION	0.011132734422953657	0.050721942566544075	0.023936917170373065	4.556108197637836	2.1501381656082206	0.09350171147378256	-4.640794899694204e-08	2.7046738762992614e-08	-1.7158426900784391
GE.RG_vs_GE.UNION	0.016083114038729716	0.10594619492990666	0.023769371411298753	6.587418000940479	1.4779085290360918	0.00015286683119870268	-6.417332895986359e-08	2.6736855123644116e-08	-2.4001823947915772
GE.Undef_vs_GE.UNION	0.004737166044388348	0.09406362663613839	0.017566082175663935	19.856518803592763	3.708141536747004	2.2472697918279556e-07	1.31942350461998e-07	4.3048034441086584e-08	3.0650029014116265
LGE.InN_vs_GE.UNION	0.01745214311512241	0.23871004473314061	0.030101553801528656	13.677978868182475	1.7248055784876895	1.9893216487755324e-11	8.38318375571654e-08	2.692907775650681e-08	3.1130601023612594
MGE.InN_vs_GE.UNION	0.017914637069737612	0.20412121991410653	0.02513943690183377	11.394102996310169	1.403290326450469	4.0500385594318697e-13	3.93639843946524e-08	2.5086642991951004e-08	1.5691212414224673
