Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE.InN_vs_GE.UNION	0.020110518776633873	0.22968074903867597	0.03748500191822573	11.42092611283299	1.8639500221038068	1.1543546396311717e-07	6.590462299264724e-08	2.27208672818399e-08	2.900620921513978
FC.ExN_vs_FC.UNION	0.014027809021701988	0.16092499805700664	0.035468653150511856	11.471855498463414	2.528452810815959	2.6031977960024606e-05	4.276536620760744e-08	2.4489442132081352e-08	1.7462776806820148
FC.InN_vs_FC.UNION	0.014781857018073163	0.1741596921760964	0.03326546516324102	11.78199004111314	2.2504253100654887	3.4706877051733655e-06	4.57951619985356e-08	2.1319876948821305e-08	2.1480031103588257
FC.MG_vs_FC.UNION	0.006065095730545016	0.03649950533819876	0.02243039740419442	6.0179603026511295	3.6982759053959398	0.1770500920219033	-1.3480100437901797e-08	3.0419205147001025e-08	-0.4431444008072899
FC.RG_vs_FC.UNION	0.018081047662040217	0.12303928029824643	0.03866485286480107	6.804875613295242	2.1384188343231343	0.007740819343138156	-2.9659191527863325e-08	2.406427422075544e-08	-1.232498900892771
FC.undef_vs_FC.UNION	0.011132734422953657	0.021641625940585822	0.029758739099702072	1.9439631916454199	2.673084434525359	0.7240757077659823	-4.2199160676153617e-08	2.3182480415323765e-08	-1.8203039502304381
GE.RG_vs_GE.UNION	0.016083114038729716	0.08140152843269255	0.03479674387104498	5.06130393881867	2.1635576162210257	0.06244145468626778	-3.328557717636367e-08	2.1287697003543183e-08	-1.5636063013685102
GE.Undef_vs_GE.UNION	0.004737166044388348	0.02716192167092328	0.021905319583027015	5.733791346220452	4.624140124658725	0.30745078485513133	-1.1098632947036237e-08	3.667010266297322e-08	-0.3026616273491599
LGE.InN_vs_GE.UNION	0.01745214311512241	0.19960242163996297	0.03560157868751341	11.437129544680733	2.039954546136192	6.207921674006881e-07	5.1266869177100567e-08	2.1687367575891883e-08	2.36390465544974
MGE.InN_vs_GE.UNION	0.017914637069737612	0.2043923900082263	0.03295526636265113	11.40923978602375	1.8395720903730153	5.869426495843915e-08	5.8170587667691875e-08	2.10765295776202e-08	2.759969920733983
