Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE.InN_vs_GE.UNION	0.020110518776633873	0.22566545893296575	0.03187762023614453	11.221264923069178	1.5851217261079653	1.2579849657628217e-09	4.8165813384531034e-08	2.0407672658821136e-08	2.3601815939414115
FC.ExN_vs_FC.UNION	0.014027809021701988	0.20081518353129993	0.03137148167911184	14.315505951116457	2.2363778713110505	1.6363629502941348e-08	7.237339245156426e-08	2.387264997192531e-08	3.0316446869818283
FC.InN_vs_FC.UNION	0.014781857018073163	0.2150719887675404	0.026653242372711234	14.5497273112966	1.8031051403164988	1.2709203390889384e-11	7.726651475033e-08	2.0965526992273473e-08	3.6854077066035784
FC.MG_vs_FC.UNION	0.006065095730545016	0.02598996060943923	0.01734364493370806	4.2851690664252295	2.8595830476940454	0.2525064628297689	-3.715737320138115e-08	2.487725520368558e-08	-1.4936283322718122
FC.RG_vs_FC.UNION	0.018081047662040217	0.17671150977996525	0.0296209890606974	9.773300368593	1.6382341120025037	3.709435077288162e-07	-1.9361585575570414e-09	2.237453345296241e-08	-0.08653403038000294
FC.undef_vs_FC.UNION	0.011132734422953657	0.07149803084974951	0.02175359193465896	6.422324303572147	1.9540205584898391	0.006258460087831428	-9.082810227520713e-09	1.853315439145409e-08	-0.4900844203676914
GE.RG_vs_GE.UNION	0.016083114038729716	0.10554952751436221	0.026742220629411884	6.5627544056573	1.662751415242968	0.0011783222287561855	-2.933031397131068e-08	2.1003262214422252e-08	-1.3964646859081973
GE.Undef_vs_GE.UNION	0.004737166044388348	0.04956056113547312	0.01773036552095745	10.462069657487016	3.7428212046653626	0.012091389989689377	3.382703325276993e-08	3.3190294248627175e-08	1.0191844940985748
LGE.InN_vs_GE.UNION	0.01745214311512241	0.2404159499180693	0.030992342292064143	13.77572647279904	1.7758473608441274	1.1352871211064636e-11	7.885512462947615e-08	2.0802202424424233e-08	3.790710378670816
MGE.InN_vs_GE.UNION	0.017914637069737612	0.21174519121931212	0.02752709848185937	11.819675184880174	1.5365702567516513	1.662134102304986e-10	5.5458087038888e-08	1.9446742681333837e-08	2.8517931227690916
