Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.02906498551707814	0.31578987584299845	0.030423959391002786	10.864958995332895	1.046756392606015	2.5147779457361324e-14	1.1675471801863643e-07	2.624376583107596e-08	4.448855349882142
FC.InN_vs_FC.UNION	0.02906498551707814	0.30761847931823433	0.030199102829325926	10.583816707477196	1.0390200542705035	4.7414584397377313e-14	1.217928077728103e-07	2.71777908577862e-08	4.481335823434587
FC.RG_vs_FC.UNION	0.02906498551707814	0.3202070517596577	0.030783029689461998	11.016934846621856	1.0591104430922342	2.76870772412849e-14	2.172598006350343e-07	3.979582086771893e-08	5.45936221185648
FC.MG_vs_FC.UNION	0.02906498551707814	0.3124664661176802	0.029650232833471908	10.750614891381236	1.0201358199903416	1.1143860976912726e-14	1.8955478930055832e-07	2.6749695040329528e-08	7.086241133395112
FC.undef_vs_FC.UNION	0.02906498551707814	0.3182140916773011	0.030648254564609692	10.948365740293363	1.0544734160146492	2.667341792496894e-14	1.9584669529975482e-07	2.6605822521583033e-08	7.3610464454117555
LGE.InN_vs_GE.UNION	0.03136084778144653	0.32259096901651885	0.028885497959102686	10.286423736521808	0.9210687848876238	5.994884241623391e-17	1.1651710561854297e-07	2.5065900174973712e-08	4.648430928280643
MGE.InN_vs_GE.UNION	0.03136084778144653	0.31419517853272444	0.0285492549306644	10.018708063071122	0.910347039392044	1.289014405381003e-16	9.745090371529036e-08	2.4904562406777752e-08	3.9129739412232833
CGE.InN_vs_GE.UNION	0.03136084778144653	0.32041070446585773	0.027854898580049487	10.216901873916072	0.8882061726828951	1.2915232096524423e-17	1.1126825814803941e-07	2.521793714796369e-08	4.412266455229235
GE.RG_vs_GE.UNION	0.03136084778144653	0.33003939142560296	0.028879112592965835	10.523930785469977	0.9208651754003627	2.8724085309948996e-17	1.9955394215415893e-07	2.4724615471781825e-08	8.071063527030768
GE.Undef_vs_GE.UNION	0.03136084778144653	0.33589702345642264	0.028924378138014076	10.710712471719068	0.9223085529953722	1.3802485963806305e-17	1.5201395762246022e-07	2.015718392764258e-08	7.541428314993727
