Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE.InN_vs_GE.UNION	0.020110518776633873	0.22392056033511992	0.028686084230734193	11.13449945385248	1.426421891416553	6.816808691106177e-11	1.5123939729352535e-07	1.0428670202019756e-07	1.4502270602462268
FC.ExN_vs_FC.UNION	0.014027809021701988	0.27268604270919855	0.02668641571445277	19.438961728615954	1.9023937147395609	1.2415959978080015e-17	7.460593550168458e-07	1.1548208666188028e-07	6.460390321844731
FC.InN_vs_FC.UNION	0.014781857018073163	0.24118237090342126	0.024125588982534824	16.316107685829838	1.6321081277567133	7.649365608303957e-17	5.095895279548882e-07	1.0038662740234439e-07	5.076269032452697
FC.MG_vs_FC.UNION	0.006065095730545016	0.0432590823062351	0.013367087795591556	7.132464882355252	2.203936819706286	0.005680065422674156	-1.602233799182803e-07	1.223617927672872e-07	-1.3094232790704516
FC.RG_vs_FC.UNION	0.018081047662040217	0.16956632495272078	0.022657074885711358	9.37812499154639	1.2530841856734973	4.991657987294823e-10	-2.3714470287685502e-07	1.0533191425602402e-07	-2.251404092974533
FC.undef_vs_FC.UNION	0.011132734422953657	0.10388253955401153	0.01924395871956464	9.331268995317519	1.7285922746784588	2.5682923337599877e-06	4.1494130859410225e-08	9.610295557099287e-08	0.4317674790840102
GE.RG_vs_GE.UNION	0.016083114038729716	0.13065811181880593	0.02090340899420516	8.12393119293741	1.2997115449077647	8.940686406212006e-08	-1.5249174476745498e-07	1.0873110329852149e-07	-1.4024666368811558
GE.Undef_vs_GE.UNION	0.004737166044388348	0.11715071380710641	0.013628243814163636	24.73012613646576	2.876876952689397	3.373789142949176e-15	9.588884693858854e-07	1.4937410223798502e-07	6.4193756147780565
LGE.InN_vs_GE.UNION	0.01745214311512241	0.2552834606242249	0.029180853161791552	14.627628191005373	1.6720498433516813	8.689667534496102e-13	4.7626906497744157e-07	1.2189254915263425e-07	3.907286116242067
MGE.InN_vs_GE.UNION	0.017914637069737612	0.23432127120135418	0.0240053724132577	13.079878218531288	1.3399865327893743	1.5763052367101408e-15	3.634174046428395e-07	9.474549441555297e-08	3.8357222882693898
