Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.2780638806073017	0.04991990558701262	19.960298208866888	3.5834075245553025	5.2366044532328246e-08	5.5399462368114e-07	1.6931324623619182e-07	3.27200993422758
FC.InN_vs_FC.UNION	0.014653861774195254	0.25661937873428353	0.043693202580669624	17.51206492108298	2.9816851867410987	2.1822066768311088e-08	4.014388429192149e-07	1.5774032671225735e-07	2.5449347753127274
FC.RG_vs_FC.UNION	0.0179651306063133	0.15171466319629903	0.052964944426053165	8.444951863750076	2.948208147590101	0.011638509195597387	-3.1899376451956013e-07	1.7095209941902672e-07	-1.865983311135965
FC.MG_vs_FC.UNION	0.005967463709657803	0.0664504874553765	0.032324231869758184	11.135465700081657	5.416745445379806	0.05305428056111022	5.382625280073615e-08	2.2283610290952322e-07	0.24155086226126873
FC.undef_vs_FC.UNION	0.011079556844566636	0.11489767608165007	0.041923828240926296	10.370241129093115	3.7838903513081887	0.013323236277843587	8.343390867520553e-08	1.5715030149093726e-07	0.5309179039660773
LGE.InN_vs_GE.UNION	0.01731240518831992	0.24204411602636552	0.046174756693500664	13.98096413487736	2.667148567239702	6.768969533297573e-07	2.1498095261446387e-07	1.4918382021055127e-07	1.4410473757211038
MGE.InN_vs_GE.UNION	0.017753426808444467	0.29210599810969295	0.05238130786112721	16.453499443316034	2.9504899773046573	3.700077763546022e-08	4.634539552042631e-07	1.6301195707590366e-07	2.84306724192302
CGE.InN_vs_GE.UNION	0.019943269421265227	0.2954394818861457	0.05664039356599176	14.813994418143034	2.8400756350208507	1.1689564332785735e-06	3.605483395016619e-07	1.662411685004197e-07	2.1688270285513043
GE.RG_vs_GE.UNION	0.015980449439446254	0.15690724991844926	0.04697277622303212	9.818700688801549	2.939390184301337	0.0035343241011172167	-4.986809474811969e-08	1.4583208104190196e-07	-0.3419555861223093
GE.Undef_vs_GE.UNION	0.004679962403284328	0.1076301433240364	0.028555138065486433	22.99807862740589	6.101574244580867	0.0002815445522897097	6.493119576102539e-07	2.512245577435009e-07	2.5845879218272856
