Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.21457797304543763	0.05380416034683663	15.403080478078705	3.8622315241196032	0.00025210986122429536	2.405324823640491e-07	1.5980218835658458e-07	1.505188914104993
FC.InN_vs_FC.UNION	0.014653861774195254	0.2213660329247757	0.05222085249000237	15.10632735151021	3.5636239303117203	6.523340259700368e-05	2.3137789056817887e-07	1.4644644671954773e-07	1.5799488191835689
FC.RG_vs_FC.UNION	0.0179651306063133	0.16612178300217179	0.05823140290387764	9.246900935069924	3.241357058846763	0.008670306956045867	-1.7936319084484534e-07	1.759851700739103e-07	-1.019194917216697
FC.MG_vs_FC.UNION	0.005967463709657803	0.0821030710494543	0.03448094162388969	13.758453347035504	5.778156902418257	0.025564045004044012	1.7726591240073615e-07	2.0089677058138143e-07	0.8823731306767192
FC.undef_vs_FC.UNION	0.011079556844566636	0.04000084242736422	0.047823811024898896	3.6103287332273086	4.316401070531216	0.5432681867830527	-1.875132591638381e-07	1.560730859942808e-07	-1.2014451945334725
LGE.InN_vs_GE.UNION	0.01731240518831992	0.2722591596352509	0.060455633508332635	15.726246969943533	3.492041276224285	2.693117904205064e-05	3.8766354228261895e-07	1.6374560024654394e-07	2.3674745562563664
MGE.InN_vs_GE.UNION	0.017753426808444467	0.24639894754363179	0.05506954448463187	13.878951382300539	3.101910694696862	3.0322044496837332e-05	3.2103996140619887e-07	1.4255217545285345e-07	2.2520874226319822
CGE.InN_vs_GE.UNION	0.019943269421265227	0.24778377993653392	0.05820985902348752	12.424431255605741	2.918772132788778	9.49032654057911e-05	2.365023922202251e-07	1.500898928103572e-07	1.5757382978416308
GE.RG_vs_GE.UNION	0.015980449439446254	0.12377077560034766	0.0539541204611014	7.7451373360520765	3.376258012363574	0.044099323880195655	-7.619899173549845e-08	1.5347977553162525e-07	-0.4964757830245672
GE.Undef_vs_GE.UNION	0.004679962403284328	0.13693861493295176	0.03519263530293173	29.26062287099791	7.519854278793791	0.00010363957284980675	8.09564446442428e-07	2.480277223095371e-07	3.264007905665063
