Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.23431724721644595	0.026240033951385824	16.820027540816216	1.8835920060402818	1.2276064967916641e-15	1.3775378107228982e-07	2.697802276685349e-08	5.106148151136591
FC.InN_vs_FC.UNION	0.014653861774195254	0.1996919875057454	0.02471404536267223	13.627260211870798	1.6865209828983425	1.2608008289740842e-12	8.11026183632073e-08	2.6259854026145827e-08	3.0884641735805864
FC.RG_vs_FC.UNION	0.0179651306063133	0.1610282809189254	0.028980410296083673	8.96337936237084	1.6131477655887114	8.355296999325964e-07	-2.2359092051693486e-08	2.7462356866835375e-08	-0.8141723654714867
FC.MG_vs_FC.UNION	0.005967463709657803	0.020400104016955686	0.01726669348550524	3.418555186844279	2.893472725700979	0.40019354972361243	-7.779218950086523e-08	3.524119442535535e-08	-2.2074220459705893
FC.undef_vs_FC.UNION	0.011079556844566636	0.050472689103052394	0.023863208090118996	4.555479051294725	2.153805285255737	0.09407235785377062	-4.640794899694093e-08	2.7046738762992925e-08	-1.7158426900783783
LGE.InN_vs_GE.UNION	0.01731240518831992	0.23738099562949608	0.029981969195859062	13.711612745157373	1.7318199793571638	1.9723499349868255e-11	8.383183755716754e-08	2.692907775650346e-08	3.113060102361726
MGE.InN_vs_GE.UNION	0.017753426808444467	0.20277549554011043	0.025010286050168973	11.421766497702837	1.4087582256667632	3.976051660436068e-13	3.936398439465295e-08	2.5086642991949812e-08	1.5691212414225637
CGE.InN_vs_GE.UNION	0.019943269421265227	0.1995736088869559	0.02962243384481548	10.007065775993247	1.4853348876302848	6.349896566980836e-09	4.753390602947952e-09	2.5801273510713597e-08	0.18423085205364675
GE.RG_vs_GE.UNION	0.015980449439446254	0.10547426501782843	0.023680184652814823	6.600206422071898	1.4818221942095375	0.00015248585458184388	-6.417332895986459e-08	2.6736855123644274e-08	-2.400182394791601
GE.Undef_vs_GE.UNION	0.004679962403284328	0.09318137298787771	0.017411704725131413	19.91070973614754	3.7204796160140385	2.211936932094081e-07	1.3194235046200552e-07	4.304803444110297e-08	3.0650029014106344
