Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.2414676372826471	0.02215227991242436	17.333304985263084	1.5901601894232897	1.013757724163947e-19	3.4005699278330233e-07	6.07742618574741e-08	5.595411320351259
FC.InN_vs_FC.UNION	0.014653861774195254	0.20806642290436042	0.0226541945823101	14.198743383178037	1.5459538878825134	2.545891966833192e-15	1.8522744489545085e-07	6.258348884069688e-08	2.959685506938387
FC.RG_vs_FC.UNION	0.0179651306063133	0.19783702017370408	0.021659927501612435	11.012278424749121	1.2056649058816589	1.112640300506759e-14	-9.07482170777525e-09	5.960900835757009e-08	-0.15223909871707814
FC.MG_vs_FC.UNION	0.005967463709657803	0.04871165184998826	0.013676295343443692	8.162873579130919	2.2918103919609663	0.00226707044037777	-7.740999441067345e-08	7.14037052670623e-08	-1.0841173314626542
FC.undef_vs_FC.UNION	0.011079556844566636	0.09651988176137288	0.01776460131473916	8.711529090507423	1.6033674960069217	2.946542417325555e-06	8.608361674475795e-10	5.596789656280344e-08	0.015380891909732691
LGE.InN_vs_GE.UNION	0.01731240518831992	0.26262781507837296	0.02368439602473037	15.16992077193057	1.3680592480997043	3.7123395886948836e-21	3.4587318987423455e-07	5.464019777514034e-08	6.330013505763636
MGE.InN_vs_GE.UNION	0.017753426808444467	0.20603813771840082	0.021904707189705018	11.60554184504809	1.233829807960567	1.1474387147329467e-15	1.5784688182472905e-07	5.450679892280103e-08	2.895911793468012
CGE.InN_vs_GE.UNION	0.019943269421265227	0.22449712614554707	0.02232977113477582	11.25678650794182	1.119664517542239	2.017939659554602e-17	1.4888657337450597e-07	4.9387210461254364e-08	3.014678739373458
GE.RG_vs_GE.UNION	0.015980449439446254	0.12451831055587713	0.01941370704233464	7.791915429394323	1.2148411166968627	7.503188284493836e-08	-7.52719720997831e-08	5.246606695725824e-08	-1.4346791453055516
GE.Undef_vs_GE.UNION	0.004679962403284328	0.10380971453884617	0.015764034820997398	22.181741132363385	3.3684105688401327	1.8604766695842102e-09	4.578492156793739e-07	1.0339040626884037e-07	4.428352999105679
