Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.20005758586667405	0.031262431628105984	14.360761506037724	2.2441154768769405	1.5857313891686504e-08	7.23733924515577e-08	2.387264997192673e-08	3.031644686981373
FC.InN_vs_FC.UNION	0.014653861774195254	0.2140064375304403	0.0265393388328837	14.60409827990157	1.811081559375577	1.2050315895362337e-11	7.726651475032878e-08	2.096552699226945e-08	3.6854077066042277
FC.RG_vs_FC.UNION	0.0179651306063133	0.17612527470243572	0.029535825408844286	9.80372915521927	1.6440640514166267	3.625717202240699e-07	-1.936158557552486e-09	2.237453345296636e-08	-0.08653403037978408
FC.MG_vs_FC.UNION	0.005967463709657803	0.0256570001880226	0.017100239175625025	4.299481561404228	2.865579081436193	0.25129557722786827	-3.715737320138115e-08	2.487725520368558e-08	-1.4936283322718122
FC.undef_vs_FC.UNION	0.011079556844566636	0.07131383379668682	0.021695429141415774	6.436524023220189	1.9581495402548625	0.0062194859809582195	-9.082810227520713e-09	1.853315439145409e-08	-0.4900844203676914
LGE.InN_vs_GE.UNION	0.01731240518831992	0.23936640329741837	0.0308720412493097	13.826293960524362	1.7832323650868567	1.067899666408779e-11	7.885512462947615e-08	2.0802202424424233e-08	3.790710378670816
MGE.InN_vs_GE.UNION	0.017753426808444467	0.21065452966647277	0.02740384776009886	11.865570063705919	1.5435807439194862	1.578238965230268e-10	5.5458087038888e-08	1.9446742681333837e-08	2.8517931227690916
CGE.InN_vs_GE.UNION	0.019943269421265227	0.22462210317879008	0.03175569762962602	11.263053135073164	1.592301490735785	1.205539185719397e-09	4.8165813384531034e-08	2.0407672658821136e-08	2.3601815939414115
GE.RG_vs_GE.UNION	0.015980449439446254	0.1052427263634043	0.026636715951789288	6.58571755207475	1.666831465080014	0.0011507004298392542	-2.9330313971307314e-08	2.100326221442592e-08	-1.3964646859077932
GE.Undef_vs_GE.UNION	0.004679962403284328	0.04910568253801359	0.017561693033182186	10.492751502352231	3.752528657251103	0.011990926521424826	3.382703325276993e-08	3.3190294248627175e-08	1.0191844940985748
