Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.20104978909376434	0.023849675842562645	14.43198496826255	1.7120045975142684	7.357725441206666e-12	1.4928358152197388e-07	3.965127176029095e-08	3.7649128235900617
FC.InN_vs_FC.UNION	0.014653861774195254	0.19844324684536985	0.024603900720017013	13.542044404623692	1.6790045586033369	2.717533846181208e-10	1.2358468116104459e-07	4.3236681009191055e-08	2.85832950810386
FC.RG_vs_FC.UNION	0.0179651306063133	0.15813988856729588	0.0268628790497272	8.802601663898976	1.4952788063943747	4.903580438464329e-07	-6.070925597856893e-08	4.883565287907631e-08	-1.2431339072888667
FC.MG_vs_FC.UNION	0.005967463709657803	0.029640489495201906	0.013907967046402651	4.967016296593717	2.3306328656668422	0.08561714536803544	-7.39546845179211e-08	5.1368056263406896e-08	-1.4397018282859235
FC.undef_vs_FC.UNION	0.011079556844566636	0.05646621954338069	0.019403877500539925	5.096433037488451	1.7513225278550286	0.021915516884006073	-5.522735300051389e-08	3.66347929826223e-08	-1.5075109889855516
LGE.InN_vs_GE.UNION	0.01731240518831992	0.2142127619830743	0.024902918021671536	12.373368093741025	1.438443575620138	3.5723441279389386e-11	1.0182659957168405e-07	3.997823232513191e-08	2.547051073783264
MGE.InN_vs_GE.UNION	0.017753426808444467	0.22517867671564656	0.024088501882183193	12.683673926463577	1.3568367471864886	6.506745221769648e-13	1.3008900170754668e-07	3.8607997192650735e-08	3.3694832979398868
CGE.InN_vs_GE.UNION	0.019943269421265227	0.23231229344076204	0.027072126203415113	11.648656423056227	1.357456775595103	2.3739954482188113e-11	9.640375450000342e-08	3.9214635535616344e-08	2.4583616087020768
GE.RG_vs_GE.UNION	0.015980449439446254	0.11447002727605142	0.02383960560061207	7.163129404451717	1.4917981932201618	7.562937356162135e-05	-6.941449623189818e-08	3.7744310589439193e-08	-1.8390717739409514
GE.Undef_vs_GE.UNION	0.004679962403284328	0.08242413695991055	0.013451253966593182	17.612136563760963	2.87422265553956	1.0048058781092963e-07	2.154221439338564e-07	5.991237241975999e-08	3.5956203240385616
