Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
FC.ExN_vs_FC.UNION	0.013930848011267608	0.2716741546065513	0.026630168395750737	19.501623618807315	1.9115970811117609	1.212143285028344e-17	7.460593550168458e-07	1.1548208666188028e-07	6.460390321844731
FC.InN_vs_FC.UNION	0.014653861774195254	0.2399763464152314	0.024034096439116245	16.37632114408355	1.6401203184159368	7.194891358641355e-17	5.095895279548882e-07	1.0038662740234439e-07	5.076269032452697
FC.RG_vs_FC.UNION	0.0179651306063133	0.1689976551621809	0.02258350422803492	9.406981717282466	1.257074313731882	4.769345703360158e-10	-2.3714470287685502e-07	1.0533191425602402e-07	-2.251404092974533
FC.MG_vs_FC.UNION	0.005967463709657803	0.04274018661640628	0.013180929085062945	7.162203022237929	2.2087992028725365	0.005531065651504592	-1.6022337991830234e-07	1.2236179276731278e-07	-1.3094232790703582
FC.undef_vs_FC.UNION	0.011079556844566636	0.10363068518224572	0.01919688131037704	9.353324021534826	1.732639814000422	2.5262256565059624e-06	4.149413085940881e-08	9.610295557101553e-08	0.4317674790838937
LGE.InN_vs_GE.UNION	0.01731240518831992	0.25409192108637	0.02908099775168547	14.676870043325755	1.6797780224844443	8.413715836221324e-13	4.7626906497744157e-07	1.2189254915263425e-07	3.907286116242067
MGE.InN_vs_GE.UNION	0.017753426808444467	0.2330384884422953	0.023893272628639873	13.126394749404092	1.3458400390213663	1.4689596683017378e-15	3.634174046428846e-07	9.474549441555279e-08	3.8357222882698725
CGE.InN_vs_GE.UNION	0.019943269421265227	0.2227434815414519	0.02857090435809245	11.168854857064893	1.4326088543750854	6.626673069758334e-11	1.5123939729353475e-07	1.0428670202022658e-07	1.4502270602459133
GE.RG_vs_GE.UNION	0.015980449439446254	0.13024870107173597	0.020809996150911433	8.150502998384336	1.3022159501687038	8.381513099953665e-08	-1.5249174476742893e-07	1.0873110329853024e-07	-1.4024666368808034
GE.Undef_vs_GE.UNION	0.004679962403284328	0.11617086171559728	0.013519931204795601	24.82303311540928	2.888897396976419	3.1718406386090203e-15	9.588884693858854e-07	1.4937410223798502e-07	6.4193756147780565
