CLUSTER	GENE	AVG_EXP	PERCENTAGE
C1	GAD1	1.0741313868613138	66.504854368932
C10	GAD1	1.9294755784061697	59.2085235920852
C11	GAD1	1.6583981481481482	67.0807453416149
C2	GAD1	2.115945205479452	34.7950428979981
C3	GAD1	0.9576013986013986	64.6084337349398
C4	GAD1	1.030357142857143	44.8717948717949
C6	GAD1	1.833445652173913	62.3024830699774
C7	GAD1	1.3633535660091047	83.4177215189873
C8	GAD1	1.378843621399177	46.0227272727273
C9	GAD1	1.5194271844660194	58.1920903954802
C1	GAD2	1.3210454545454546	74.7572815533981
C10	GAD2	1.8280874635568514	52.20700152207
C11	GAD2	1.6593831775700936	66.4596273291926
C2	GAD2	1.9969324675324676	36.7016205910391
C3	GAD2	1.2974238683127572	73.1927710843374
C4	GAD2	1.0039333333333333	38.4615384615385
C6	GAD2	1.4149068965517242	65.4627539503386
C7	GAD2	1.1045575657894737	76.9620253164557
C8	GAD2	1.5341131386861313	51.8939393939394
C9	GAD2	1.570118881118881	64.6327683615819
C1	SLC32A1	2.618578231292517	71.3592233009709
C10	SLC32A1	3.9651795918367347	74.5814307458143
C11	SLC32A1	2.7132389380530975	70.1863354037267
C2	SLC32A1	3.079811403508772	21.7349857006673
C3	SLC32A1	2.033066037735849	79.8192771084337
C4	SLC32A1	1.0463023255813955	34.4551282051282
C6	SLC32A1	3.175555910543131	70.6546275395034
C7	SLC32A1	3.8306353591160223	91.6455696202532
C8	SLC32A1	3.664455072463768	65.3409090909091
C9	SLC32A1	3.247810606060606	74.5762711864407
C1	GLI3	1.3433579545454546	85.4368932038835
C10	GLI3	1.7603457943925234	48.8584474885845
C11	GLI3	1.9537477477477478	68.944099378882
C2	GLI3	3.7938059701492537	51.0962821734986
C3	GLI3	1.917502722323049	82.9819277108434
C4	GLI3	2.799341650671785	83.4935897435898
C6	GLI3	2.1281603773584905	71.7832957110609
C7	GLI3	1.0028146788990826	68.9873417721519
C8	GLI3	2.1588392857142855	63.6363636363636
C9	GLI3	2.478381305637982	76.1581920903955
C1	SLC17A7	0.8955697674418605	41.747572815534
C10	SLC17A7	1.5197844827586207	17.6560121765601
C11	SLC17A7	1.1491739130434782	14.2857142857143
C2	SLC17A7	1.7682	6.19637750238322
C3	SLC17A7	0.85532	48.9457831325301
C4	SLC17A7	1.0418653846153847	25
C6	SLC17A7	1.0977999999999999	33.8600451467269
C7	SLC17A7	0.8263786848072562	55.8227848101266
C8	SLC17A7	1.5272191780821918	41.4772727272727
C9	SLC17A7	1.0657147887323943	32.090395480226
C1	TNC	0.48761061946902656	54.8543689320388
C10	TNC	1.210433962264151	16.1339421613394
C11	TNC	0.73803125	19.8757763975155
C2	TNC	1.947343137254902	19.4470924690181
C3	TNC	0.6314984423676012	48.3433734939759
C4	TNC	1.0324568345323741	44.5512820512821
C6	TNC	1.179470238095238	37.9232505643341
C7	TNC	0.42845583038869256	35.8227848101266
C8	TNC	1.2871118421052632	28.7878787878788
C9	TNC	0.6805972850678733	24.9717514124294
C1	PROX1	0.4884782608695652	44.6601941747573
C10	PROX1	1.968372023809524	51.1415525114155
C11	PROX1	1.3715729166666666	59.6273291925466
C2	PROX1	1.9441081081081082	31.7445185891325
C3	PROX1	1.037659817351598	65.9638554216867
C4	PROX1	0.9935353159851301	43.1089743589744
C6	PROX1	1.093941798941799	42.6636568848758
C7	PROX1	0.9514929328621908	71.6455696202532
C8	PROX1	1.2636572769953052	40.3409090909091
C9	PROX1	1.4300762081784386	60.7909604519774
C1	SCGN	0.2814035087719298	27.6699029126214
C10	SCGN	0.8271556886227545	25.4185692541857
C11	SCGN	0.6511538461538462	24.223602484472
C2	SCGN	1.2142875816993464	14.5853193517636
C3	SCGN	0.4104907749077491	40.8132530120482
C4	SCGN	0.5662037037037037	17.3076923076923
C6	SCGN	0.6036821705426356	29.1196388261851
C7	SCGN	0.4391048951048951	54.3037974683544
C8	SCGN	0.7598333333333334	30.6818181818182
C9	SCGN	0.7284352331606218	43.6158192090396
C1	LHX6	0.5402181818181818	26.6990291262136
C10	LHX6	2.449886503067485	49.6194824961948
