HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012423	3012924	93
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386652	20387153	179
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327875	53328376	37
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526772	53527273	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259287	54259788	81
HARsv2_0041	chr1	56719267	56719457	C1orf168	chr1	56719134	56719635	190
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087924	63088425	194
HARsv2_0061	chr1	71196931	71197360	ZRANB2-AS2	chr1	71196629	71197130	199
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820988	87821489	47
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462492	88462993	188
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025582	101026083	132
HARsv2_0122	chr1	108717938	108718228	FNDC7	chr1	108717973	108718474	255
HARsv2_0143	chr1	164563928	164564046	PBX1	chr1	164563946	164564447	100
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183327	216183828	416
HARsv2_0194	chr1	217857200	217857477	SPATA17	chr1	217856968	217857469	269
HARsv2_0236	chr10	10330698	10330854	LOC101928298;LOC101928322	chr10	10330234	10330735	37
HARsv2_0237	chr10	10432275	10432538	LOC101928322	chr10	10432327	10432828	211
HARsv2_0240	chr10	14102801	14103011	FRMD4A	chr10	14102535	14103036	210
HARsv2_0241	chr10	14191547	14191782	FRMD4A	chr10	14191377	14191878	235
HARsv2_0244	chr10	16612585	16612742	RSU1	chr10	16612531	16613032	157
HARsv2_0253	chr10	28263511	28263826	MPP7	chr10	28263602	28264103	224
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513601	96514102	95
HARsv2_0322	chr10	121509166	121509416	FGFR2	chr10	121509095	121509596	250
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765304	17765805	310
HARsv2_0379	chr11	35874650	35874984	TRIM44;LDLRAD3	chr11	35874595	35875096	334
HARsv2_0385	chr11	42049472	42049695	LINC01499;LOC100507205	chr11	42049575	42050076	120
HARsv2_0389	chr11	42596829	42597161	LOC100507205;HNRNPKP3	chr11	42596690	42597191	332
HARsv2_0415	chr11	95282453	95282802	LOC100129203;FAM76B	chr11	95282095	95282596	143
HARsv2_0420	chr11	100576644	100576929	CNTN5;ARHGAP42	chr11	100576364	100576865	221
HARsv2_0426	chr11	111081041	111081359	ARHGAP20;C11orf53	chr11	111081033	111081534	318
HARsv2_0432	chr11	114144231	114144497	ZBTB16	chr11	114143829	114144330	99
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114229106	114229607	382
HARsv2_0453	chr11	125193164	125193394	PKNOX2	chr11	125193035	125193536	230
HARsv2_0455	chr11	126915019	126915281	KIRREL3	chr11	126914862	126915363	262
HARsv2_0469	chr11	132078581	132078953	NTM	chr11	132078366	132078867	286
HARsv2_0473	chr11	133663876	133664032	OPCML;LOC646522	chr11	133663415	133663916	40
HARsv2_0478	chr12	3491584	3491600	LOC100129223	chr12	3491498	3491999	16
HARsv2_0509	chr12	47759145	47759313	RAPGEF3	chr12	47758919	47759420	168
HARsv2_0550	chr12	94535193	94535306	CEP83-AS1;MIR5700	chr12	94535019	94535520	113
HARsv2_0564	chr12	107672343	107672573	BTBD11;PWP1	chr12	107672077	107672578	230
HARsv2_0573	chr12	113561229	113561471	LHX5-AS1;LINC01234	chr12	113561190	113561691	242
HARsv2_0599	chr13	43315612	43315916	ENOX1	chr13	43315487	43315988	304
HARsv2_0600	chr13	44045230	44045450	LINC00284;SMIM2-AS1	chr13	44045142	44045643	220
