HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3011870	3012371	315
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012455	3012956	61
HARsv2_0011	chr1	19341806	19342441	CAPZB	chr1	19341366	19341867	61
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386710	20387211	179
HARsv2_0025	chr1	44019475	44019732	SLC6A9	chr1	44019557	44020058	175
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631492	44631993	70
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499606	48500107	272
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327872	53328373	38
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526687	53527188	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259705	54260206	290
HARsv2_0044	chr1	57600841	57600943	DAB1	chr1	57600389	57600890	49
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087877	63088378	241
HARsv2_0061	chr1	71196931	71197360	ZRANB2-AS2	chr1	71196717	71197218	287
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820915	87821416	120
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88461673	88462174	479
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462418	88462919	262
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025120	101025621	377
HARsv2_0129	chr1	145215629	145215867	LINC00623;LINC00869	chr1	145215825	145216326	42
HARsv2_0143	chr1	164563928	164564046	PBX1	chr1	164563924	164564425	118
HARsv2_0157	chr1	178394460	178394756	RASAL2	chr1	178394340	178394841	296
HARsv2_0164	chr1	194338430	194338920	LINC01031;KCNT2	chr1	194338270	194338771	341
HARsv2_0176	chr1	208767896	208768362	PLXNA2;MIR205HG	chr1	208767741	208768242	346
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183396	216183897	485
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475965	243476466	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245156928	245157429	114
HARsv2_0213	chr1	245688118	245688648	KIF26B	chr1	245688122	245688623	501
HARsv2_0217	chr10	1667570	1667705	ADARB2	chr10	1667343	1667844	135
HARsv2_0220	chr10	4278188	4278558	LINC00702;LINC00703	chr10	4278083	4278584	370
HARsv2_0227	chr10	7320211	7320278	SFMBT2	chr10	7319980	7320481	67
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949657	35950158	454
HARsv2_0269	chr10	71353923	71354113	SLC29A3	chr10	71353558	71354059	136
HARsv2_0283	chr10	78663843	78664013	LINC00595;ZMIZ1-AS1	chr10	78663659	78664160	170
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513710	96514211	95
HARsv2_0308	chr10	114915381	114915711	FAM160B1;TRUB1	chr10	114915219	114915720	330
HARsv2_0309	chr10	115876842	115877083	ATRNL1	chr10	115876383	115876884	42
HARsv2_0323	chr10	122154705	122155085	TACC2	chr10	122154691	122155192	380
HARsv2_0326	chr10	125124276	125124426	CTBP2	chr10	125123803	125124304	28
HARsv2_0344	chr11	8315970	8316253	LMO1;STK33	chr11	8315602	8316103	133
HARsv2_0345	chr11	8357103	8357324	LMO1;STK33	chr11	8357039	8357540	221
HARsv2_0353	chr11	16169974	16170324	SOX6	chr11	16169889	16170390	350
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765297	17765798	310
HARsv2_0359	chr11	22491771	22492110	LINC01495	chr11	22491749	22492250	339
HARsv2_0364	chr11	30719753	30719952	MPPED2;DCDC5	chr11	30719396	30719897	144
HARsv2_0407	chr11	86588478	86588838	ME3	chr11	86588686	86589187	152
HARsv2_0420	chr11	100576644	100576929	CNTN5;ARHGAP42	chr11	100576345	100576846	202
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114229051	114229552	437
HARsv2_0436	chr11	115284969	115285178	CADM1	chr11	115284745	115285246	209
HARsv2_0442	chr11	116053594	116053824	LINC00900;BUD13	chr11	116053444	116053945	230
HARsv2_0451	chr11	121930498	121930701	SORL1;MIR100HG	chr11	121930054	121930555	57
HARsv2_0452	chr11	124746884	124747294	NRGN	chr11	124746808	124747309	410
HARsv2_0456	chr11	127143567	127143760	LOC101929473;LOC101929497	chr11	127143284	127143785	193
HARsv2_0463	chr11	131592914	131593015	NTM	chr11	131592600	131593101	101
HARsv2_0474	chr11	133940996	133941269	IGSF9B	chr11	133940709	133941210	214
HARsv2_0477	chr12	3137708	3137874	TSPAN9	chr12	3137432	3137933	166
HARsv2_0478	chr12	3491584	3491600	LOC100129223	chr12	3491496	3491997	16
HARsv2_0497	chr12	24016380	24016638	SOX5	chr12	24016164	24016665	258
HARsv2_0509	chr12	47759145	47759313	RAPGEF3	chr12	47758918	47759419	168
HARsv2_0536	chr12	79165300	79165450	SYT1	chr12	79165123	79165624	150
HARsv2_0537	chr12	79226886	79227197	SYT1	chr12	79226801	79227302	311
HARsv2_0548	chr12	92363677	92363708	BTG1;CLLU1OS	chr12	92363598	92364099	31
HARsv2_0550	chr12	94535193	94535306	CEP83-AS1;MIR5700	chr12	94535014	94535515	113
HARsv2_0555	chr12	97537474	97537846	RMST;MIR135A2	chr12	97537426	97537927	372
HARsv2_0573	chr12	113561229	113561471	LHX5-AS1;LINC01234	chr12	113561196	113561697	242
HARsv2_0583	chr12	130281220	130281485	FZD10;PIWIL1	chr12	130281070	130281571	265
HARsv2_0600	chr13	44045230	44045450	LINC00284;SMIM2-AS1	chr13	44045128	44045629	220
HARsv2_0603	chr13	52925863	52926199	PCDH8;OLFM4	chr13	52925674	52926175	312
HARsv2_0631	chr13	71149620	71150221	LINC00348	chr13	71149434	71149935	315
HARsv2_0648	chr13	76489238	76489541	LMO7DN;KCTD12	chr13	76489328	76489829	213
HARsv2_0649	chr13	78547097	78547636	RNF219-AS1	chr13	78547143	78547644	493
HARsv2_0664	chr13	93777897	93778143	GPC6	chr13	93777772	93778273	246
HARsv2_0666	chr13	93853941	93854137	GPC6-AS2	chr13	93853852	93854353	196
HARsv2_0669	chr13	94947515	94947693	LOC101927284;LINC00557	chr13	94947360	94947861	178
HARsv2_0670	chr13	94947886	94948541	LOC101927284;LINC00557	chr13	94948032	94948533	501
HARsv2_0692	chr13	104144174	104144430	LINC01309;DAOA-AS1	chr13	104143953	104144454	256
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349039	106349540	168
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349662	106350163	80
HARsv2_0702	chr13	110247913	110248408	COL4A1	chr13	110247495	110247996	83
HARsv2_0711	chr14	24007062	24007204	DHRS4L1	chr14	24006835	24007336	142
HARsv2_0726	chr14	32711134	32711424	AKAP6	chr14	32711044	32711545	290
HARsv2_0732	chr14	33019165	33019907	NPAS3	chr14	33019222	33019723	501
HARsv2_0733	chr14	33027135	33027389	NPAS3	chr14	33027009	33027510	254
HARsv2_0740	chr14	33349939	33350254	NPAS3	chr14	33349776	33350277	315
HARsv2_0749	chr14	33792601	33792837	NPAS3	chr14	33792578	33793079	236
HARsv2_0772	chr14	47674137	47674677	MDGA2	chr14	47674082	47674583	446
HARsv2_0776	chr14	48876992	48877014	LINC00648;RPS29	chr14	48876877	48877378	22
HARsv2_0796	chr14	69852566	69852794	SLC10A1;SMOC1	chr14	69852483	69852984	228
HARsv2_0806	chr14	79293830	79294063	NRXN3	chr14	79293511	79294012	182
HARsv2_0833	chr14	97633203	97633393	LOC100129345	chr14	97633258	97633759	135
HARsv2_0835	chr14	98108751	98109242	LINC01550;C14orf177	chr14	98108762	98109263	480
HARsv2_0838	chr14	99035963	99036323	C14orf177;BCL11B	chr14	99035780	99036281	318
HARsv2_0839	chr14	99226532	99226699	BCL11B	chr14	99226454	99226955	167
HARsv2_0842	chr14	104093506	104093605	ASPG	chr14	104093525	104094026	80
HARsv2_0858	chr15	33738059	33738534	RYR3	chr15	33737654	33738155	96
HARsv2_0876	chr15	36884820	36884965	LOC145845	chr15	36884472	36884973	145
HARsv2_0880	chr15	37045663	37046182	MEIS2	chr15	37045418	37045919	256
HARsv2_0880	chr15	37045663	37046182	MEIS2	chr15	37045964	37046465	218
HARsv2_0891	chr15	57259309	57259534	TCF12	chr15	57259448	57259949	86
HARsv2_0894	chr15	59741122	59741301	BNIP2;FOXB1	chr15	59741256	59741757	45
HARsv2_0898	chr15	60375362	60375650	ANXA2	chr15	60375126	60375627	265
HARsv2_0920	chr15	75453904	75454429	SIN3A	chr15	75453845	75454346	442
HARsv2_0922	chr15	77556678	77557448	HMG20A;LINGO1	chr15	77556776	77557277	501
HARsv2_0924	chr15	78671711	78672041	CHRNB4;LOC646938	chr15	78671491	78671992	281
HARsv2_0935	chr15	91321885	91321921	SV2B;LOC101926928	chr15	91321676	91322177	36
HARsv2_0949	chr15	96409230	96409870	NR2F2;SPATA8-AS1	chr15	96409550	96410051	320
HARsv2_0953	chr15	97652889	97653016	LOC101927310;LINC00923	chr15	97652580	97653081	127
HARsv2_0962	chr16	5511883	5512061	EEF2KMT;LINC01570	chr16	5511970	5512471	91
HARsv2_0970	chr16	7227411	7227521	RBFOX1	chr16	7227343	7227844	110
HARsv2_0981	chr16	13483333	13483349	SHISA9;ERCC4	chr16	13482907	13483408	16
HARsv2_0985	chr16	17850721	17851018	XYLT1;NPIPA7	chr16	17850876	17851377	142
HARsv2_0990	chr16	24433653	24433831	CACNG3;RBBP6	chr16	24433601	24434102	178
HARsv2_1002	chr16	52523681	52524314	TOX3	chr16	52523583	52524084	403
HARsv2_1002	chr16	52523681	52524314	TOX3	chr16	52524306	52524807	8
HARsv2_1003	chr16	52569009	52569343	CASC16	chr16	52568933	52569434	334
HARsv2_1039	chr16	73053041	73053661	ZFHX3	chr16	73052582	73053083	42
HARsv2_1039	chr16	73053041	73053661	ZFHX3	chr16	73053544	73054045	117
HARsv2_1060	chr16	78958158	78958544	WWOX	chr16	78957660	78958161	3
HARsv2_1061	chr16	79022426	79022704	WWOX	chr16	79022500	79023001	204
HARsv2_1067	chr16	80045958	80046209	LINC01229;LOC102724084	chr16	80045917	80046418	251
HARsv2_1068	chr16	80121587	80122116	LINC01229;LOC102724084	chr16	80122061	80122562	55
HARsv2_1073	chr16	82499619	82499942	MPHOSPH6;CDH13	chr16	82499246	82499747	128
HARsv2_1074	chr16	82627815	82628095	CDH13	chr16	82627689	82628190	280
HARsv2_1078	chr16	82940689	82940715	CDH13	chr16	82940534	82941035	26
HARsv2_1080	chr16	85365994	85366724	MIR5093;GSE1	chr16	85366027	85366528	501
HARsv2_1086	chr17	2238369	2238811	SMG6	chr17	2238414	2238915	397
HARsv2_1093	chr17	6160300	6160490	WSCD1;AIPL1	chr17	6160136	6160637	190
HARsv2_1111	chr17	44138032	44138627	HDAC5;C17orf53	chr17	44138038	44138539	501
HARsv2_1126	chr17	57598228	57598520	MSI2	chr17	57597762	57598263	35
HARsv2_1126	chr17	57598228	57598520	MSI2	chr17	57598313	57598814	207
HARsv2_1133	chr17	65438982	65439366	RGS9;AXIN2	chr17	65438907	65439408	384
HARsv2_1135	chr17	66398913	66398933	PRKCA-AS1	chr17	66398440	66398941	20
HARsv2_1137	chr17	68206139	68206241	LOC440461;AMZ2	chr17	68206237	68206738	4
HARsv2_1144	chr17	73804041	73804616	LINC00469	chr17	73803928	73804429	388
HARsv2_1144	chr17	73804041	73804616	LINC00469	chr17	73804448	73804949	168
HARsv2_1151	chr17	79951064	79951232	TBC1D16	chr17	79950652	79951153	89
HARsv2_1153	chr18	908419	909169	ADCYAP1	chr18	908143	908644	225
HARsv2_1153	chr18	908419	909169	ADCYAP1	chr18	908892	909393	277
HARsv2_1158	chr18	3499007	3499552	DLGAP1	chr18	3498960	3499461	454
HARsv2_1158	chr18	3499007	3499552	DLGAP1	chr18	3499498	3499999	54
HARsv2_1176	chr18	26335479	26336460	TAF4B	chr18	26335757	26336258	501
HARsv2_1177	chr18	27437898	27438224	CHST9;CDH2	chr18	27437993	27438494	231
HARsv2_1184	chr18	32771331	32771440	KLHL14	chr18	32771139	32771640	109
HARsv2_1186	chr18	33585161	33585727	ASXL3	chr18	33585051	33585552	391
HARsv2_1189	chr18	37669137	37669407	MIR4318;LINC00669	chr18	37669012	37669513	270
HARsv2_1207	chr18	40122371	40122669	LINC01477;KC6	chr18	40122326	40122827	298
HARsv2_1225	chr18	45291880	45292671	SLC14A2	chr18	45291536	45292037	157
HARsv2_1225	chr18	45291880	45292671	SLC14A2	chr18	45292150	45292651	501
HARsv2_1240	chr18	53021284	53021463	DCC	chr18	53021145	53021646	179
HARsv2_1271	chr18	74901918	74902650	ZNF407	chr18	74902087	74902588	501
HARsv2_1273	chr18	75160945	75161275	ZNF407;ZADH2	chr18	75161190	75161691	85
HARsv2_1274	chr18	75545105	75545435	SMIM21;LOC339298	chr18	75544998	75545499	330
HARsv2_1279	chr18	78430067	78430551	LINC01029;SALL3	chr18	78430033	78430534	467
HARsv2_1293	chr19	31304528	31304699	TSHZ3	chr19	31304626	31305127	73
HARsv2_1294	chr19	31421505	31421900	TSHZ3;THEG5	chr19	31421529	31422030	371
HARsv2_1303	chr19	42175892	42176212	LOC100505622;DEDD2	chr19	42175525	42176026	134
HARsv2_1303	chr19	42175892	42176212	LOC100505622;DEDD2	chr19	42176204	42176705	8
HARsv2_1307	chr2	6345263	6345586	LOC400940;LINC01247	chr2	6345377	6345878	209
HARsv2_1313	chr2	11391805	11391826	ROCK2;LINC00570	chr2	11391565	11392066	21
HARsv2_1325	chr2	21519423	21519654	APOB;LOC645949	chr2	21519379	21519880	231
HARsv2_1328	chr2	21757748	21758478	LOC645949;LOC102723362	chr2	21757614	21758115	367
HARsv2_1330	chr2	22329088	22329838	LOC645949;LOC102723362	chr2	22329373	22329874	465
HARsv2_1346	chr2	31075608	31075652	GALNT14	chr2	31075375	31075876	44
HARsv2_1371	chr2	53114722	53114912	MIR4431;ASB3	chr2	53114802	53115303	110
HARsv2_1376	chr2	58951920	58952754	LINC01122	chr2	58951717	58952218	298
HARsv2_1418	chr2	104872562	104872922	LINC01159	chr2	104872317	104872818	256
HARsv2_1420	chr2	105262724	105263064	GPR45;TGFBRAP1	chr2	105262551	105263052	328
HARsv2_1423	chr2	107986149	107986659	SLC5A7	chr2	107986399	107986900	260
HARsv2_1431	chr2	113235363	113235878	PAX8	chr2	113235325	113235826	463
HARsv2_1433	chr2	113890263	113890903	ACTR3	chr2	113890307	113890808	501
HARsv2_1441	chr2	118309582	118310304	INSIG2;LOC101927709	chr2	118309302	118309803	221
HARsv2_1441	chr2	118309582	118310304	INSIG2;LOC101927709	chr2	118309910	118310411	394
HARsv2_1442	chr2	118842584	118843004	EN1	chr2	118842893	118843394	111
HARsv2_1444	chr2	121075207	121075564	GLI2;TFCP2L1	chr2	121075209	121075710	355
HARsv2_1454	chr2	134360689	134360979	MGAT5	chr2	134360623	134361124	290
HARsv2_1479	chr2	145220474	145221227	TEX41;PABPC1P2	chr2	145220494	145220995	501
HARsv2_1479	chr2	145220474	145221227	TEX41;PABPC1P2	chr2	145221014	145221515	213
HARsv2_1487	chr2	147198244	147199008	PABPC1P2;ACVR2A	chr2	147198470	147198971	501
HARsv2_1510	chr2	163553544	163553863	KCNH7;FIGN	chr2	163553586	163554087	277
HARsv2_1517	chr2	170823007	170823211	GAD1	chr2	170823006	170823507	204
HARsv2_1518	chr2	170880908	170881177	GAD1;GORASP2	chr2	170880550	170881051	143
HARsv2_1520	chr2	171573809	171574147	CYBRD1;DYNC1I2	chr2	171574036	171574537	111
HARsv2_1524	chr2	174108433	174109141	OLA1	chr2	174108539	174109040	501
HARsv2_1529	chr2	176078382	176079016	KIAA1715;EVX2	chr2	176078521	176079022	495
HARsv2_1547	chr2	189441478	189441505	WDR75	chr2	189441158	189441659	27
HARsv2_1551	chr2	191918493	191918528	SDPR;TMEFF2	chr2	191918319	191918820	35
HARsv2_1560	chr2	202123242	202123482	KIAA2012	chr2	202123268	202123769	214
HARsv2_1562	chr2	204265029	204265172	ICOS;PARD3B	chr2	204264686	204265187	143
HARsv2_1563	chr2	204370599	204370621	ICOS;PARD3B	chr2	204370366	204370867	22
HARsv2_1565	chr2	204920649	204920786	PARD3B	chr2	204920695	204921196	91
HARsv2_1572	chr2	205892317	205892437	NRP2;INO80D	chr2	205892255	205892756	120
HARsv2_1582	chr2	211534483	211535084	ERBB4	chr2	211534520	211535021	501
HARsv2_1595	chr2	216636797	216636900	IGFBP2	chr2	216636770	216637271	103
HARsv2_1610	chr2	222061870	222062257	EPHA4;PAX3	chr2	222062221	222062722	36
HARsv2_1616	chr2	229273399	229273651	PID1;DNER	chr2	229273642	229274143	9
HARsv2_1617	chr2	235865019	235865565	AGAP1	chr2	235865146	235865647	419
HARsv2_1618	chr2	236180712	236180877	GBX2;ASB18	chr2	236180786	236181287	91
HARsv2_1620	chr2	237315617	237315847	COPS8;COL6A3	chr2	237315130	237315631	14
HARsv2_1621	chr20	675745	675937	SCRT2	chr20	675549	676050	192
HARsv2_1622	chr20	728331	728421	SCRT2;SLC52A3	chr20	728230	728731	90
HARsv2_1642	chr20	15223081	15223264	MACROD2	chr20	15222969	15223470	183
HARsv2_1645	chr20	15930132	15930236	LOC613266	chr20	15930211	15930712	25
