seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	6603336	6603836	501	*	5' UTR	1	6613731	6624030	10300	1	148479	-9895	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6603336	6603836	501	*	5' UTR	1	6613731	6624030	10300	1	148479	-9895	ENSG00000116273	PHF13	PHD finger protein 13
chr1	8370429	8370929	501	*	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8318114	8344167	26054	1	50651	52315	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
chr1	8419149	8419649	501	*	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-4996	NA	RERE-AS1	RERE antisense RNA 1
chr1	8438844	8439344	501	*	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8424645	8435013	10369	1	102724552	14199	NA	RERE-AS1	RERE antisense RNA 1
chr1	8370429	8370929	501	*	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8318114	8344167	26054	1	50651	52315	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
chr1	8419149	8419649	501	*	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-4996	NA	RERE-AS1	RERE antisense RNA 1
chr1	8438844	8439344	501	*	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8424645	8435013	10369	1	102724552	14199	NA	RERE-AS1	RERE antisense RNA 1
chr1	8460078	8460578	501	*	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8424645	8435013	10369	1	102724552	35433	NA	RERE-AS1	RERE antisense RNA 1
chr1	8460745	8461245	501	*	Intron (ENST00000337907.7/473, intron 12 of 23)	1	8424645	8435013	10369	1	102724552	36100	NA	RERE-AS1	RERE antisense RNA 1
chr1	28505647	28506147	501	*	Promoter	1	28505943	28539300	33358	1	1104	0	ENSG00000180198	RCC1	regulator of chromosome condensation 1
chr1	28581671	28582171	501	*	Promoter	1	28580920	28581056	137	2	692073	-615	ENSG00000280498	SNORA16A	small nucleolar RNA, H/ACA box 16A
chr1	28648075	28648575	501	*	Promoter	1	28648600	28648733	134	1	26824	-25	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28834533	28835033	501	*	Intron (ENST00000621425.1/4985, intron 1 of 3)	1	28812142	28871267	59126	1	4985	22391	ENSG00000116329	OPRD1	opioid receptor delta 1
chr1	43453159	43453659	501	*	3' UTR	1	43451003	43453989	2987	2	81888	330	ENSG00000178922	HYI	hydroxypyruvate isomerase (putative)
chr1	43540697	43541197	501	*	Intron (ENST00000496043.5/5792, intron 3 of 4)	1	43525187	43623666	98480	1	5792	15510	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43541992	43542492	501	*	Intron (ENST00000496043.5/5792, intron 3 of 4)	1	43525187	43623666	98480	1	5792	16805	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43570680	43571180	501	*	Intron (ENST00000617451.4/5792, intron 6 of 7)	1	43525187	43623666	98480	1	5792	45493	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43573318	43573818	501	*	Intron (ENST00000617451.4/5792, intron 6 of 7)	1	43525187	43623666	98480	1	5792	48131	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43558352	43558852	501	*	Intron (ENST00000617451.4/5792, intron 5 of 7)	1	43525187	43623666	98480	1	5792	33165	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
