seqnames	start	end	hg38_base_position	rsid	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
