HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386598	20387099	179
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631718	44632219	164
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327891	53328392	21
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462477	88462978	203
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025654	101026155	60
HARsv2_0250	chr10	24353431	24353661	KIAA1217	chr10	24353232	24353733	230
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513576	96514077	86
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765361	17765862	310
HARsv2_0420	chr11	100576644	100576929	CNTN5;ARHGAP42	chr11	100576369	100576870	226
HARsv2_0509	chr12	47759145	47759313	RAPGEF3	chr12	47758726	47759227	82
HARsv2_0550	chr12	94535193	94535306	CEP83-AS1;MIR5700	chr12	94534739	94535240	47
HARsv2_0600	chr13	44045230	44045450	LINC00284;SMIM2-AS1	chr13	44045142	44045643	220
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106348963	106349464	92
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349680	106350181	62
HARsv2_0749	chr14	33792601	33792837	NPAS3	chr14	33792644	33793145	193
HARsv2_0768	chr14	45368040	45368310	MIS18BP1;LINC00871	chr14	45367810	45368311	270
HARsv2_0920	chr15	75453904	75454429	SIN3A	chr15	75453913	75454414	501
HARsv2_0980	chr16	9422783	9422856	MIR548X;LINC01177	chr16	9422502	9423003	73
HARsv2_1111	chr17	44138032	44138627	HDAC5;C17orf53	chr17	44138052	44138553	501
HARsv2_1144	chr17	73804041	73804616	LINC00469	chr17	73803907	73804408	367
HARsv2_1189	chr18	37669137	37669407	MIR4318;LINC00669	chr18	37669009	37669510	270
HARsv2_1225	chr18	45291880	45292671	SLC14A2	chr18	45292166	45292667	501
HARsv2_1240	chr18	53021284	53021463	DCC	chr18	53020898	53021399	115
HARsv2_1280	chr18	78772348	78772585	LINC01029;SALL3	chr18	78772017	78772518	170
HARsv2_1313	chr2	11391805	11391826	ROCK2;LINC00570	chr2	11391556	11392057	21
HARsv2_1382	chr2	63840026	63840176	UGP2	chr2	63840170	63840671	6
HARsv2_1454	chr2	134360689	134360979	MGAT5	chr2	134360614	134361115	290
HARsv2_1477	chr2	145028271	145028844	TEX41	chr2	145028226	145028727	456
HARsv2_1487	chr2	147198244	147199008	PABPC1P2;ACVR2A	chr2	147197842	147198343	99
HARsv2_1547	chr2	189441478	189441505	WDR75	chr2	189441177	189441678	27
HARsv2_1616	chr2	229273399	229273651	PID1;DNER	chr2	229273646	229274147	5
HARsv2_1620	chr2	237315617	237315847	COPS8;COL6A3	chr2	237315150	237315651	34
