seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	6554293	6554793	501	*	Promoter	1	6521347	6554513	33167	2	79707	0	ENSG00000162408	NOL9	nucleolar protein 9
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6612584	6613084	501	*	Promoter	1	6613731	6624030	10300	1	148479	-647	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6554293	6554793	501	*	Promoter	1	6521347	6554513	33167	2	79707	0	ENSG00000162408	NOL9	nucleolar protein 9
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6612584	6613084	501	*	Promoter	1	6613731	6624030	10300	1	148479	-647	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	8423543	8424043	501	*	Promoter	1	8424645	8435013	10369	1	102724552	-602	NA	RERE-AS1	RERE antisense RNA 1
chr1	28505640	28506140	501	*	Promoter	1	28505943	28539300	33358	1	1104	0	ENSG00000180198	RCC1	regulator of chromosome condensation 1
chr1	28581168	28581668	501	*	Promoter	1	28580920	28581056	137	2	692073	-112	ENSG00000280498	SNORA16A	small nucleolar RNA, H/ACA box 16A
chr1	28581679	28582179	501	*	Promoter	1	28580920	28581056	137	2	692073	-623	ENSG00000280498	SNORA16A	small nucleolar RNA, H/ACA box 16A
chr1	28642909	28643409	501	*	Promoter	1	28643228	28648581	5354	1	105378616	0	ENSG00000229388	LINC01715	long intergenic non-protein coding RNA 1715
chr1	28648078	28648578	501	*	Promoter	1	28648600	28648733	134	1	26824	-22	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28642909	28643409	501	*	Promoter	1	28643228	28648581	5354	1	105378616	0	ENSG00000229388	LINC01715	long intergenic non-protein coding RNA 1715
chr1	28648078	28648578	501	*	Promoter	1	28648600	28648733	134	1	26824	-22	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	43368532	43369032	501	*	Promoter	1	43363398	43368074	4677	2	64834	-458	ENSG00000066322	ELOVL1	ELOVL fatty acid elongase 1
chr1	43389614	43390114	501	*	Promoter	1	43383917	43389808	5892	2	112950	0	ENSG00000159479	MED8	mediator complex subunit 8
chr1	43358596	43359096	501	*	Promoter	1	43358981	43363203	4223	1	991	0	ENSG00000117399	CDC20	cell division cycle 20
chr1	43454397	43454897	501	*	Promoter	1	43451003	43453989	2987	2	81888	-408	ENSG00000178922	HYI	hydroxypyruvate isomerase (putative)
chr1	43649146	43649646	501	*	Promoter	1	43650149	43931014	280866	1	9682	-503	ENSG00000066135	KDM4A	lysine demethylase 4A
chr1	43649779	43650279	501	*	Promoter	1	43650149	43931014	280866	1	9682	0	ENSG00000066135	KDM4A	lysine demethylase 4A
chr1	114780443	114780943	501	*	Promoter	1	114769479	114780685	11207	2	80143	0	ENSG00000052723	SIKE1	suppressor of IKBKE 1
chr1	153922825	153923325	501	*	Promoter	1	153789030	153923360	134331	2	57459	35	ENSG00000143614	GATAD2B	GATA zinc finger domain containing 2B
chr1	153923463	153923963	501	*	Promoter	1	153789030	153923360	134331	2	57459	-103	ENSG00000143614	GATAD2B	GATA zinc finger domain containing 2B
chr1	153922825	153923325	501	*	Promoter	1	153789030	153923360	134331	2	57459	35	ENSG00000143614	GATAD2B	GATA zinc finger domain containing 2B
chr1	153963394	153963894	501	*	Promoter	1	153962351	153962420	70	2	102465441	-974	ENSG00000276584	MIR6737	microRNA 6737
chr1	153967520	153968020	501	*	Promoter	1	153967534	153974361	6828	1	148327	0	ENSG00000143578	CREB3L4	cAMP responsive element binding protein 3 like 4
chr1	153922825	153923325	501	*	Promoter	1	153789030	153923360	134331	2	57459	35	ENSG00000143614	GATAD2B	GATA zinc finger domain containing 2B
chr1	153963394	153963894	501	*	Promoter	1	153962351	153962420	70	2	102465441	-974	ENSG00000276584	MIR6737	microRNA 6737
chr1	153967520	153968020	501	*	Promoter	1	153967534	153974361	6828	1	148327	0	ENSG00000143578	CREB3L4	cAMP responsive element binding protein 3 like 4
chr1	153922825	153923325	501	*	Promoter	1	153789030	153923360	134331	2	57459	35	ENSG00000143614	GATAD2B	GATA zinc finger domain containing 2B
chr1	153963394	153963894	501	*	Promoter	1	153962351	153962420	70	2	102465441	-974	ENSG00000276584	MIR6737	microRNA 6737
chr1	153967520	153968020	501	*	Promoter	1	153967534	153974361	6828	1	148327	0	ENSG00000143578	CREB3L4	cAMP responsive element binding protein 3 like 4
chr1	201024407	201024907	501	*	Promoter	1	200969390	201023714	54325	2	23046	-693	ENSG00000116852	KIF21B	kinesin family member 21B
chr1	243255115	243255615	501	*	Promoter	1	243124428	243255348	130921	2	9859	0	ENSG00000143702	CEP170	centrosomal protein 170
chr2	48439953	48440453	501	*	Promoter	2	48440598	48515391	74794	1	129285	-145	ENSG00000162869	PPP1R21	protein phosphatase 1 regulatory subunit 21
chr2	48529220	48529720	501	*	Promoter	2	48529546	48598513	68968	1	11037	0	ENSG00000243244	STON1	stonin 1
chr2	48529855	48530355	501	*	Promoter	2	48529925	48776517	246593	1	286749	0	ENSG00000068781	STON1-GTF2A1L	STON1-GTF2A1L readthrough
chr2	172083694	172084194	501	*	Promoter	2	172084740	172089677	4938	1	1745	-546	ENSG00000144355	DLX1	distal-less homeobox 1
chr2	172084439	172084939	501	*	Promoter	2	172084740	172089677	4938	1	1745	0	ENSG00000144355	DLX1	distal-less homeobox 1
chr2	172102708	172103208	501	*	Promoter	2	172103006	172109982	6977	1	104326193	0	ENSG00000236651	DLX2-DT	DLX2 divergent transcript
chr2	172083694	172084194	501	*	Promoter	2	172084740	172089677	4938	1	1745	-546	ENSG00000144355	DLX1	distal-less homeobox 1
chr2	172084439	172084939	501	*	Promoter	2	172084740	172089677	4938	1	1745	0	ENSG00000144355	DLX1	distal-less homeobox 1
chr2	172102708	172103208	501	*	Promoter	2	172103006	172109982	6977	1	104326193	0	ENSG00000236651	DLX2-DT	DLX2 divergent transcript
chr3	52705532	52706032	501	*	Promoter	3	52694488	52706032	11545	2	55830	0	ENSG00000016864	GLT8D1	glycosyltransferase 8 domain containing 1
chr3	52706056	52706556	501	*	Promoter	3	52694488	52706032	11545	2	55830	-24	ENSG00000016864	GLT8D1	glycosyltransferase 8 domain containing 1
chr4	102827682	102828182	501	*	Promoter	4	102828055	102844075	16021	1	105377348	0	ENSG00000246560	UBE2D3-AS1	UBE2D3 antisense RNA 1
chr4	102827682	102828182	501	*	Promoter	4	102828055	102844075	16021	1	105377348	0	ENSG00000246560	UBE2D3-AS1	UBE2D3 antisense RNA 1
chr5	138331734	138332234	501	*	Promoter	5	138332105	138337146	5042	1	100128966	0	ENSG00000120709	LOC100128966	uncharacterized LOC100128966
chr5	138337989	138338489	501	*	Promoter	5	138285265	138338355	53091	2	995	0	ENSG00000158402	CDC25C	cell division cycle 25C
chr5	138352386	138352886	501	*	Promoter	5	138352685	138437028	84344	1	51780	0	ENSG00000120733	KDM3B	lysine demethylase 3B
chr5	138575470	138575970	501	*	Promoter	5	138553756	138575675	21920	2	3313	0	ENSG00000113013	HSPA9	heat shock protein family A (Hsp70) member 9
