seqnames	start	end	hg38_base_position	rsid	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	6602693	6603193	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10538	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602693	6603193	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10538	ENSG00000116273	PHF13	PHD finger protein 13
chr1	8408057	8408557	8408218	rs301792	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8408057	8408557	8408218	rs301792	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8408057	8408557	8408218	rs301792	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8408057	8408557	8408312	rs301791	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8408057	8408557	8408312	rs301791	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8408057	8408557	8408312	rs301791	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8424645	8435013	10369	1	102724552	-16088	NA	RERE-AS1	RERE antisense RNA 1
chr1	8437403	8437903	8437498	rs2784739	3' UTR	1	8424645	8435013	10369	1	102724552	12758	NA	RERE-AS1	RERE antisense RNA 1
chr1	8437403	8437903	8437498	rs2784739	3' UTR	1	8424645	8435013	10369	1	102724552	12758	NA	RERE-AS1	RERE antisense RNA 1
chr1	28552728	28553228	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28552728	28553228	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28648942	28649442	28649120	rs72663818	Downstream (<=300bp)	1	28648600	28648733	134	1	26824	342	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28835339	28835839	28835487	rs2236855	Intron (ENST00000621425.1/4985, intron 1 of 3)	1	28812142	28871267	59126	1	4985	23197	ENSG00000116329	OPRD1	opioid receptor delta 1
chr1	43453676	43454176	43453742	rs6692611	Promoter	1	43451003	43453989	2987	2	81888	0	ENSG00000178922	HYI	hydroxypyruvate isomerase (putative)
chr1	43545063	43545563	43545390	rs78406870	5' UTR	1	43525187	43623666	98480	1	5792	19876	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43545063	43545563	43545390	rs78406870	5' UTR	1	43525187	43623666	98480	1	5792	19876	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43545063	43545563	43545390	rs78406870	5' UTR	1	43525187	43623666	98480	1	5792	19876	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
