HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3011862	3012363	307
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012400	3012901	116
HARsv2_0006	chr1	7591204	7591476	CAMTA1	chr1	7591232	7591733	244
HARsv2_0011	chr1	19341806	19342441	CAPZB	chr1	19342419	19342920	22
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386674	20387175	179
HARsv2_0025	chr1	44019475	44019732	SLC6A9	chr1	44019427	44019928	257
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631471	44631972	49
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499591	48500092	287
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327875	53328376	37
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526593	53527094	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259558	54260059	290
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087902	63088403	216
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820098	87820599	324
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820608	87821109	427
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462458	88462959	222
HARsv2_0107	chr1	96997824	96998068	PTBP2;DPYD	chr1	96997860	96998361	208
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025574	101026075	140
HARsv2_0111	chr1	101155362	101155501	LOC102606465;LOC101928370	chr1	101155056	101155557	139
HARsv2_0124	chr1	115826607	115826717	CASQ2;NHLH2	chr1	115826584	115827085	110
HARsv2_0125	chr1	116311738	116312318	MAB21L3;ATP1A1	chr1	116311759	116312260	501
HARsv2_0143	chr1	164563928	164564046	PBX1	chr1	164563960	164564461	86
HARsv2_0147	chr1	175204284	175204634	KIAA0040;TNR	chr1	175204252	175204753	350
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183021	216183522	110
HARsv2_0194	chr1	217857200	217857477	SPATA17	chr1	217857189	217857690	277
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475976	243476477	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245156982	245157483	117
HARsv2_0212	chr1	245225732	245225967	KIF26B	chr1	245225273	245225774	42
HARsv2_0213	chr1	245688118	245688648	KIF26B	chr1	245687992	245688493	375
HARsv2_0233	chr10	8752157	8752307	LINC00708;LOC101928272	chr10	8752013	8752514	150
HARsv2_0244	chr10	16612585	16612742	RSU1	chr10	16612529	16613030	157
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949056	35949557	65
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949611	35950112	500
HARsv2_0269	chr10	71353923	71354113	SLC29A3	chr10	71353544	71354045	122
HARsv2_0283	chr10	78663843	78664013	LINC00595;ZMIZ1-AS1	chr10	78663685	78664186	170
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513633	96514134	95
HARsv2_0320	chr10	121305146	121305396	MIR5694;FGFR2	chr10	121305046	121305547	250
HARsv2_0323	chr10	122154705	122155085	TACC2	chr10	122154988	122155489	97
HARsv2_0345	chr11	8357103	8357324	LMO1;STK33	chr11	8357030	8357531	221
HARsv2_0348	chr11	12329873	12330103	MICALCL	chr11	12329785	12330286	230
HARsv2_0353	chr11	16169974	16170324	SOX6	chr11	16169889	16170390	350
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765300	17765801	310
HARsv2_0359	chr11	22491771	22492110	LINC01495	chr11	22491769	22492270	339
HARsv2_0370	chr11	31871914	31872384	DKFZp686K1684	chr11	31871675	31872176	262
HARsv2_0385	chr11	42049472	42049695	LINC01499;LOC100507205	chr11	42049215	42049716	223
HARsv2_0392	chr11	47021642	47021869	C11orf49	chr11	47021147	47021648	6
HARsv2_0392	chr11	47021642	47021869	C11orf49	chr11	47021673	47022174	196
HARsv2_0402	chr11	80010819	80011176	TENM4;LOC101928944	chr11	80010385	80010886	67
HARsv2_0407	chr11	86588478	86588838	ME3	chr11	86588702	86589203	136
HARsv2_0420	chr11	100576644	100576929	CNTN5;ARHGAP42	chr11	100576371	100576872	228
HARsv2_0426	chr11	111081041	111081359	ARHGAP20;C11orf53	chr11	111080811	111081312	271
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114229021	114229522	446
HARsv2_0435	chr11	115216014	115216213	CADM1	chr11	115216202	115216703	11
HARsv2_0436	chr11	115284969	115285178	CADM1	chr11	115284777	115285278	209
HARsv2_0451	chr11	121930498	121930701	SORL1;MIR100HG	chr11	121930100	121930601	103
HARsv2_0453	chr11	125193164	125193394	PKNOX2	chr11	125193030	125193531	230
HARsv2_0469	chr11	132078581	132078953	NTM	chr11	132078143	132078644	63
HARsv2_0477	chr12	3137708	3137874	TSPAN9	chr12	3137452	3137953	166
HARsv2_0478	chr12	3491584	3491600	LOC100129223	chr12	3491306	3491807	16
HARsv2_0480	chr12	12320015	12320271	LRP6;MANSC1	chr12	12319773	12320274	256
HARsv2_0493	chr12	19308438	19308764	PLEKHA5	chr12	19308412	19308913	326
HARsv2_0498	chr12	24229993	24230396	LOC101928471	chr12	24229880	24230381	388
HARsv2_0509	chr12	47759145	47759313	RAPGEF3	chr12	47758925	47759426	168
HARsv2_0524	chr12	72083402	72083605	TPH2;TRHDE-AS1	chr12	72083382	72083883	203
HARsv2_0540	chr12	86333021	86333262	MGAT4C	chr12	86332945	86333446	241
HARsv2_0548	chr12	92363677	92363708	BTG1;CLLU1OS	chr12	92363630	92364131	31
HARsv2_0550	chr12	94535193	94535306	CEP83-AS1;MIR5700	chr12	94535027	94535528	113
HARsv2_0555	chr12	97537474	97537846	RMST;MIR135A2	chr12	97537429	97537930	372
HARsv2_0573	chr12	113561229	113561471	LHX5-AS1;LINC01234	chr12	113561193	113561694	242
HARsv2_0581	chr12	129851373	129851497	TMEM132D	chr12	129851420	129851921	77
HARsv2_0596	chr13	40087262	40087496	COG6;LINC00332	chr13	40087148	40087649	234
HARsv2_0599	chr13	43315612	43315916	ENOX1	chr13	43315305	43315806	194
HARsv2_0599	chr13	43315612	43315916	ENOX1	chr13	43315862	43316363	54
HARsv2_0600	chr13	44045230	44045450	LINC00284;SMIM2-AS1	chr13	44045142	44045643	220
HARsv2_0634	chr13	71323475	71323619	LINC00348;DACH1	chr13	71323390	71323891	144
HARsv2_0635	chr13	71638159	71639125	DACH1	chr13	71638766	71639267	359
HARsv2_0643	chr13	74305761	74306187	KLF12;LINC00381	chr13	74305809	74306310	378
HARsv2_0650	chr13	79848244	79848463	LINC01038;LINC00382	chr13	79848110	79848611	219
HARsv2_0662	chr13	92807463	92807660	GPC5	chr13	92807281	92807782	197
HARsv2_0670	chr13	94947886	94948541	LOC101927284;LINC00557	chr13	94947838	94948339	453
HARsv2_0670	chr13	94947886	94948541	LOC101927284;LINC00557	chr13	94948399	94948900	142
HARsv2_0692	chr13	104144174	104144430	LINC01309;DAOA-AS1	chr13	104144228	104144729	202
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349009	106349510	138
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349696	106350197	46
HARsv2_0702	chr13	110247913	110248408	COL4A1	chr13	110247577	110248078	165
HARsv2_0711	chr14	24007062	24007204	DHRS4L1	chr14	24006834	24007335	142
HARsv2_0726	chr14	32711134	32711424	AKAP6	chr14	32711042	32711543	290
HARsv2_0733	chr14	33027135	33027389	NPAS3	chr14	33026947	33027448	254
HARsv2_0740	chr14	33349939	33350254	NPAS3	chr14	33349765	33350266	315
HARsv2_0749	chr14	33792601	33792837	NPAS3	chr14	33792620	33793121	217
HARsv2_0761	chr14	39663921	39664511	FBXO33;LOC644919	chr14	39664273	39664774	238
HARsv2_0769	chr14	45799589	45799803	MIS18BP1;LINC00871	chr14	45799570	45800071	214
HARsv2_0772	chr14	47674137	47674677	MDGA2	chr14	47674066	47674567	430
HARsv2_0776	chr14	48876992	48877014	LINC00648;RPS29	chr14	48876892	48877393	22
HARsv2_0795	chr14	69635943	69636713	SUSD6	chr14	69635933	69636434	491
HARsv2_0796	chr14	69852566	69852794	SLC10A1;SMOC1	chr14	69852489	69852990	228
HARsv2_0812	chr14	81605799	81606248	LINC01467	chr14	81605660	81606161	362
HARsv2_0815	chr14	81691924	81692309	LINC01467;NONE	chr14	81691841	81692342	385
HARsv2_0838	chr14	99035963	99036323	C14orf177;BCL11B	chr14	99035778	99036279	316
HARsv2_0839	chr14	99226532	99226699	BCL11B	chr14	99226133	99226634	102
HARsv2_0858	chr15	33738059	33738534	RYR3	chr15	33737668	33738169	110
HARsv2_0859	chr15	35211938	35212218	ZNF770;ANP32AP1	chr15	35211481	35211982	44
HARsv2_0870	chr15	36434608	36434778	MIR4510;C15orf41	chr15	36434309	36434810	170
HARsv2_0874	chr15	36672707	36673697	C15orf41	chr15	36672679	36673180	473
HARsv2_0874	chr15	36672707	36673697	C15orf41	chr15	36673575	36674076	122
HARsv2_0875	chr15	36675411	36675812	C15orf41	chr15	36675174	36675675	264
HARsv2_0875	chr15	36675411	36675812	C15orf41	chr15	36675802	36676303	10
HARsv2_0876	chr15	36884820	36884965	LOC145845	chr15	36884478	36884979	145
HARsv2_0880	chr15	37045663	37046182	MEIS2	chr15	37045899	37046400	283
HARsv2_0891	chr15	57259309	57259534	TCF12	chr15	57259449	57259950	85
HARsv2_0892	chr15	57751653	57751815	GCOM1;ALDH1A2	chr15	57751161	57751662	9
HARsv2_0894	chr15	59741122	59741301	BNIP2;FOXB1	chr15	59741244	59741745	57
HARsv2_0898	chr15	60375362	60375650	ANXA2	chr15	60375149	60375650	288
HARsv2_0920	chr15	75453904	75454429	SIN3A	chr15	75453799	75454300	396
HARsv2_0924	chr15	78671711	78672041	CHRNB4;LOC646938	chr15	78671644	78672145	330
HARsv2_0953	chr15	97652889	97653016	LOC101927310;LINC00923	chr15	97652866	97653367	127
HARsv2_0964	chr16	6446983	6447230	RBFOX1	chr16	6446984	6447485	246
HARsv2_0976	chr16	7980035	7980427	RBFOX1;TMEM114	chr16	7980052	7980553	375
HARsv2_0985	chr16	17850721	17851018	XYLT1;NPIPA7	chr16	17850878	17851379	140
HARsv2_1008	chr16	56789794	56789816	NUP93	chr16	56789325	56789826	22
HARsv2_1024	chr16	63981488	63981876	CDH8;CDH11	chr16	63981667	63982168	209
HARsv2_1039	chr16	73053041	73053661	ZFHX3	chr16	73053565	73054066	96
HARsv2_1061	chr16	79022426	79022704	WWOX	chr16	79021971	79022472	46
HARsv2_1064	chr16	79302602	79302803	WWOX;MAF	chr16	79302717	79303218	86
HARsv2_1068	chr16	80121587	80122116	LINC01229;LOC102724084	chr16	80121090	80121591	4
HARsv2_1074	chr16	82627815	82628095	CDH13	chr16	82627451	82627952	137
HARsv2_1074	chr16	82627815	82628095	CDH13	chr16	82627974	82628475	121
HARsv2_1080	chr16	85365994	85366724	MIR5093;GSE1	chr16	85366026	85366527	501
HARsv2_1086	chr17	2238369	2238811	SMG6	chr17	2238402	2238903	409
HARsv2_1093	chr17	6160300	6160490	WSCD1;AIPL1	chr17	6160140	6160641	190
HARsv2_1126	chr17	57598228	57598520	MSI2	chr17	57597742	57598243	15
HARsv2_1133	chr17	65438982	65439366	RGS9;AXIN2	chr17	65438823	65439324	342
HARsv2_1151	chr17	79951064	79951232	TBC1D16	chr17	79950643	79951144	80
HARsv2_1153	chr18	908419	909169	ADCYAP1	chr18	908606	909107	501
HARsv2_1153	chr18	908419	909169	ADCYAP1	chr18	909123	909624	46
HARsv2_1158	chr18	3499007	3499552	DLGAP1	chr18	3499020	3499521	501
HARsv2_1174	chr18	25679596	25679986	ZNF521;SS18	chr18	25679453	25679954	358
HARsv2_1176	chr18	26335479	26336460	TAF4B	chr18	26335521	26336022	501
HARsv2_1176	chr18	26335479	26336460	TAF4B	chr18	26336248	26336749	212
HARsv2_1184	chr18	32771331	32771440	KLHL14	chr18	32771105	32771606	109
HARsv2_1187	chr18	35990497	35990647	RPRD1A	chr18	35990404	35990905	150
HARsv2_1189	chr18	37669137	37669407	MIR4318;LINC00669	chr18	37669021	37669522	270
HARsv2_1190	chr18	37714784	37714955	MIR4318;LINC00669	chr18	37714565	37715066	171
HARsv2_1225	chr18	45291880	45292671	SLC14A2	chr18	45291868	45292369	489
HARsv2_1232	chr18	48208729	48209019	ZBTB7C;CTIF	chr18	48208686	48209187	290
HARsv2_1234	chr18	49566582	49566611	LIPG	chr18	49566229	49566730	29
HARsv2_1245	chr18	56332474	56332659	LINC01539;TXNL1	chr18	56332331	56332832	185
HARsv2_1254	chr18	61471688	61471914	MC4R;CDH20	chr18	61471338	61471839	151
HARsv2_1267	chr18	73549268	73549315	LOC100505817;FBXO15	chr18	73549113	73549614	47
HARsv2_1278	chr18	78248052	78248235	LINC01029;SALL3	chr18	78247781	78248282	183
HARsv2_1279	chr18	78430067	78430551	LINC01029;SALL3	chr18	78430490	78430991	61
HARsv2_1294	chr19	31421505	31421900	TSHZ3;THEG5	chr19	31421059	31421560	55
HARsv2_1294	chr19	31421505	31421900	TSHZ3;THEG5	chr19	31421742	31422243	158
HARsv2_1303	chr19	42175892	42176212	LOC100505622;DEDD2	chr19	42176201	42176702	11
HARsv2_1313	chr2	11391805	11391826	ROCK2;LINC00570	chr2	11391523	11392024	21
HARsv2_1325	chr2	21519423	21519654	APOB;LOC645949	chr2	21519355	21519856	231
HARsv2_1328	chr2	21757748	21758478	LOC645949;LOC102723362	chr2	21757681	21758182	434
HARsv2_1330	chr2	22329088	22329838	LOC645949;LOC102723362	chr2	22328841	22329342	254
HARsv2_1330	chr2	22329088	22329838	LOC645949;LOC102723362	chr2	22329353	22329854	485
HARsv2_1332	chr2	22599668	22599917	LOC102723362;KLHL29	chr2	22599353	22599854	186
HARsv2_1346	chr2	31075608	31075652	GALNT14	chr2	31075369	31075870	44
HARsv2_1353	chr2	36389283	36389522	CRIM1	chr2	36389262	36389763	239
HARsv2_1374	chr2	58054993	58055701	VRK2	chr2	58055010	58055511	501
HARsv2_1376	chr2	58951920	58952754	LINC01122	chr2	58951700	58952201	281
HARsv2_1418	chr2	104872562	104872922	LINC01159	chr2	104872216	104872717	155
HARsv2_1418	chr2	104872562	104872922	LINC01159	chr2	104872732	104873233	190
HARsv2_1420	chr2	105262724	105263064	GPR45;TGFBRAP1	chr2	105262756	105263257	308
HARsv2_1423	chr2	107986149	107986659	SLC5A7	chr2	107986538	107987039	121
HARsv2_1428	chr2	110858730	110858912	ACOXL	chr2	110858393	110858894	164
HARsv2_1431	chr2	113235363	113235878	PAX8	chr2	113235240	113235741	378
HARsv2_1433	chr2	113890263	113890903	ACTR3	chr2	113890335	113890836	501
HARsv2_1441	chr2	118309582	118310304	INSIG2;LOC101927709	chr2	118309931	118310432	373
HARsv2_1444	chr2	121075207	121075564	GLI2;TFCP2L1	chr2	121075283	121075784	281
HARsv2_1452	chr2	132589320	132589516	GPR39	chr2	132589012	132589513	193
HARsv2_1454	chr2	134360689	134360979	MGAT5	chr2	134360788	134361289	191
HARsv2_1468	chr2	143726251	143726401	ARHGAP15	chr2	143726188	143726689	150
HARsv2_1483	chr2	146265594	146265859	TEX41;PABPC1P2	chr2	146265633	146266134	226
HARsv2_1487	chr2	147198244	147199008	PABPC1P2;ACVR2A	chr2	147198571	147199072	437
HARsv2_1517	chr2	170823007	170823211	GAD1	chr2	170823007	170823508	204
HARsv2_1547	chr2	189441478	189441505	WDR75	chr2	189441163	189441664	27
HARsv2_1551	chr2	191918493	191918528	SDPR;TMEFF2	chr2	191918309	191918810	35
HARsv2_1553	chr2	194486456	194486606	LOC101927406;LOC101927431	chr2	194486294	194486795	150
HARsv2_1560	chr2	202123242	202123482	KIAA2012	chr2	202123270	202123771	212
HARsv2_1561	chr2	204082251	204082416	ICOS;PARD3B	chr2	204081825	204082326	75
HARsv2_1562	chr2	204265029	204265172	ICOS;PARD3B	chr2	204264741	204265242	143
HARsv2_1572	chr2	205892317	205892437	NRP2;INO80D	chr2	205892078	205892579	120
HARsv2_1582	chr2	211534483	211535084	ERBB4	chr2	211534518	211535019	501
HARsv2_1595	chr2	216636797	216636900	IGFBP2	chr2	216636600	216637101	103
HARsv2_1597	chr2	217905437	217905687	TNS1	chr2	217905071	217905572	135
HARsv2_1597	chr2	217905437	217905687	TNS1	chr2	217905681	217906182	6
HARsv2_1617	chr2	235865019	235865565	AGAP1	chr2	235864993	235865494	475
