seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	2443749	2444249	501	*	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2425980	2505532	79553	1	9651	17769	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	6554293	6554793	501	*	Promoter	1	6521347	6554513	33167	2	79707	0	ENSG00000162408	NOL9	nucleolar protein 9
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6603407	6603907	501	*	5' UTR	1	6613731	6624030	10300	1	148479	-9824	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6612584	6613084	501	*	Promoter	1	6613731	6624030	10300	1	148479	-647	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	501	*	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6554293	6554793	501	*	Promoter	1	6521347	6554513	33167	2	79707	0	ENSG00000162408	NOL9	nucleolar protein 9
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6603407	6603907	501	*	5' UTR	1	6613731	6624030	10300	1	148479	-9824	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6612584	6613084	501	*	Promoter	1	6613731	6624030	10300	1	148479	-647	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	501	*	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6579679	6580179	501	*	Promoter	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
chr1	6602041	6602541	501	*	Exon (ENST00000377658.8/9903, exon 1 of 4)	1	6613731	6624030	10300	1	148479	-11190	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	501	*	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6613315	6613815	501	*	Promoter	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6624895	6625395	501	*	Promoter	1	6624866	6635586	10721	1	90326	29	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6653521	6654021	501	*	Exon (ENST00000451196.5/55735, exon 4 of 8)	1	6624866	6635586	10721	1	90326	28655	ENSG00000041988	THAP3	THAP domain containing 3
chr1	8423543	8424043	501	*	Promoter	1	8424645	8435013	10369	1	102724552	-602	NA	RERE-AS1	RERE antisense RNA 1
chr1	28505640	28506140	501	*	Promoter	1	28505943	28539300	33358	1	1104	0	ENSG00000180198	RCC1	regulator of chromosome condensation 1
chr1	28553288	28553788	501	*	Exon (ENST00000373830.4/54952, exon 2 of 9)	1	28553085	28578545	25461	1	54952	203	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28581168	28581668	501	*	Promoter	1	28580920	28581056	137	2	692073	-112	ENSG00000280498	SNORA16A	small nucleolar RNA, H/ACA box 16A
chr1	28581679	28582179	501	*	Promoter	1	28580920	28581056	137	2	692073	-623	ENSG00000280498	SNORA16A	small nucleolar RNA, H/ACA box 16A
