HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012429	3012930	87
HARsv2_0004	chr1	3368816	3368971	PRDM16	chr1	3368606	3369107	155
HARsv2_0009	chr1	10713034	10713476	CASZ1	chr1	10712908	10713409	375
HARsv2_0011	chr1	19341806	19342441	CAPZB	chr1	19341359	19341860	54
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386690	20387191	179
HARsv2_0025	chr1	44019475	44019732	SLC6A9	chr1	44019467	44019968	257
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631581	44632082	159
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499562	48500063	316
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327859	53328360	38
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526801	53527302	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259595	54260096	290
HARsv2_0044	chr1	57600841	57600943	DAB1	chr1	57600408	57600909	68
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087878	63088379	240
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462432	88462933	248
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025576	101026077	138
HARsv2_0124	chr1	115826607	115826717	CASQ2;NHLH2	chr1	115826537	115827038	110
HARsv2_0125	chr1	116311738	116312318	MAB21L3;ATP1A1	chr1	116311762	116312263	501
HARsv2_0143	chr1	164563928	164564046	PBX1	chr1	164563581	164564082	118
HARsv2_0164	chr1	194338430	194338920	LINC01031;KCNT2	chr1	194338111	194338612	182
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183009	216183510	98
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183523	216184024	483
HARsv2_0204	chr1	237044260	237044635	RYR2	chr1	237044194	237044695	375
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475988	243476489	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245156997	245157498	117
HARsv2_0213	chr1	245688118	245688648	KIF26B	chr1	245688081	245688582	464
HARsv2_0217	chr10	1667570	1667705	ADARB2	chr10	1667333	1667834	135
HARsv2_0237	chr10	10432275	10432538	LOC101928322	chr10	10432218	10432719	263
HARsv2_0240	chr10	14102801	14103011	FRMD4A	chr10	14102694	14103195	210
HARsv2_0243	chr10	16458291	16458612	PTER	chr10	16458104	16458605	314
HARsv2_0250	chr10	24353431	24353661	KIAA1217	chr10	24353437	24353938	224
HARsv2_0256	chr10	33446112	33446262	NRP1;LINC00838	chr10	33445671	33446172	60
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949481	35949982	490
HARsv2_0269	chr10	71353923	71354113	SLC29A3	chr10	71353553	71354054	131
HARsv2_0274	chr10	75723588	75724471	MIR606;C10orf11	chr10	75723948	75724449	501
HARsv2_0279	chr10	76054329	76054770	C10orf11	chr10	76054297	76054798	441
HARsv2_0283	chr10	78663843	78664013	LINC00595;ZMIZ1-AS1	chr10	78663690	78664191	170
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513694	96514195	95
HARsv2_0298	chr10	105340606	105340907	SORCS3;LOC101927549	chr10	105340451	105340952	301
HARsv2_0323	chr10	122154705	122155085	TACC2	chr10	122154927	122155428	158
HARsv2_0327	chr10	125501517	125501855	CTBP2;TEX36-AS1	chr10	125501030	125501531	14
HARsv2_0340	chr11	508178	508761	RNH1	chr11	507986	508487	309
HARsv2_0345	chr11	8357103	8357324	LMO1;STK33	chr11	8357032	8357533	221
HARsv2_0348	chr11	12329873	12330103	MICALCL	chr11	12329762	12330263	230
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765304	17765805	310
HARsv2_0359	chr11	22491771	22492110	LINC01495	chr11	22491791	22492292	319
HARsv2_0366	chr11	31246706	31247082	DCDC5;DCDC1	chr11	31246761	31247262	321
HARsv2_0403	chr11	80075011	80075246	TENM4;LOC101928944	chr11	80074759	80075260	235
HARsv2_0424	chr11	109427125	109427430	C11orf87	chr11	109426647	109427148	23
HARsv2_0426	chr11	111081041	111081359	ARHGAP20;C11orf53	chr11	111081006	111081507	318
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114229004	114229505	446
HARsv2_0436	chr11	115284969	115285178	CADM1	chr11	115284748	115285249	209
HARsv2_0441	chr11	116044982	116045192	LINC00900;BUD13	chr11	116044679	116045180	198
HARsv2_0442	chr11	116053594	116053824	LINC00900;BUD13	chr11	116053451	116053952	230
HARsv2_0443	chr11	116174353	116174544	LINC00900;BUD13	chr11	116174030	116174531	178
HARsv2_0451	chr11	121930498	121930701	SORL1;MIR100HG	chr11	121930055	121930556	58
HARsv2_0452	chr11	124746884	124747294	NRGN	chr11	124746779	124747280	396
