HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012423	3012924	93
HARsv2_0003	chr1	3173190	3173325	PRDM16	chr1	3172836	3173337	135
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386745	20387246	179
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631506	44632007	84
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499168	48499669	194
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327869	53328370	38
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526678	53527179	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259488	54259989	282
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087897	63088398	221
HARsv2_0068	chr1	76140155	76140176	ST6GALNAC3	chr1	76140063	76140564	21
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462460	88462961	220
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025576	101026077	138
HARsv2_0111	chr1	101155362	101155501	LOC102606465;LOC101928370	chr1	101155034	101155535	139
HARsv2_0115	chr1	104278111	104278219	LOC100129138;LOC101928476	chr1	104278024	104278525	108
HARsv2_0147	chr1	175204284	175204634	KIAA0040;TNR	chr1	175204256	175204757	350
HARsv2_0151	chr1	176693984	176694299	PAPPA2	chr1	176693953	176694454	315
HARsv2_0157	chr1	178394460	178394756	RASAL2	chr1	178394338	178394839	296
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183277	216183778	366
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475970	243476471	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245156972	245157473	117
HARsv2_0233	chr10	8752157	8752307	LINC00708;LOC101928272	chr10	8752105	8752606	150
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949088	35949589	97
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949607	35950108	501
HARsv2_0261	chr10	47181011	47181661	GDF10;PTPN20	chr10	47181363	47181864	298
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513611	96514112	95
HARsv2_0323	chr10	122154705	122155085	TACC2	chr10	122154913	122155414	172
HARsv2_0345	chr11	8357103	8357324	LMO1;STK33	chr11	8357077	8357578	221
HARsv2_0352	chr11	16112325	16112773	SOX6	chr11	16111874	16112375	50
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17765328	17765829	310
HARsv2_0379	chr11	35874650	35874984	TRIM44;LDLRAD3	chr11	35874838	35875339	146
HARsv2_0385	chr11	42049472	42049695	LINC01499;LOC100507205	chr11	42049178	42049679	207
HARsv2_0389	chr11	42596829	42597161	LOC100507205;HNRNPKP3	chr11	42596615	42597116	287
HARsv2_0402	chr11	80010819	80011176	TENM4;LOC101928944	chr11	80010574	80011075	256
HARsv2_0426	chr11	111081041	111081359	ARHGAP20;C11orf53	chr11	111081050	111081551	309
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114228783	114229284	242
HARsv2_0463	chr11	131592914	131593015	NTM	chr11	131592707	131593208	101
HARsv2_0477	chr12	3137708	3137874	TSPAN9	chr12	3137254	3137755	47
HARsv2_0480	chr12	12320015	12320271	LRP6;MANSC1	chr12	12319798	12320299	256
HARsv2_0550	chr12	94535193	94535306	CEP83-AS1;MIR5700	chr12	94534999	94535500	113
HARsv2_0555	chr12	97537474	97537846	RMST;MIR135A2	chr12	97537436	97537937	372
HARsv2_0573	chr12	113561229	113561471	LHX5-AS1;LINC01234	chr12	113561203	113561704	242
HARsv2_0581	chr12	129851373	129851497	TMEM132D	chr12	129851432	129851933	65
HARsv2_0596	chr13	40087262	40087496	COG6;LINC00332	chr13	40087191	40087692	234
HARsv2_0599	chr13	43315612	43315916	ENOX1	chr13	43315280	43315781	169
HARsv2_0599	chr13	43315612	43315916	ENOX1	chr13	43315877	43316378	39
HARsv2_0600	chr13	44045230	44045450	LINC00284;SMIM2-AS1	chr13	44045116	44045617	220
HARsv2_0609	chr13	59510784	59511260	LOC101926897;DIAPH3	chr13	59510385	59510886	102
HARsv2_0628	chr13	69374113	69374307	LINC00383;KLHL1	chr13	69373974	69374475	194
HARsv2_0634	chr13	71323475	71323619	LINC00348;DACH1	chr13	71323203	71323704	144
HARsv2_0670	chr13	94947886	94948541	LOC101927284;LINC00557	chr13	94948069	94948570	472
HARsv2_0700	chr13	106349372	106349742	LINC00343;LINC00460	chr13	106349016	106349517	145
HARsv2_0702	chr13	110247913	110248408	COL4A1	chr13	110248178	110248679	230
HARsv2_0702	chr13	110247913	110248408	COL4A1	chr13	110247656	110248157	244
HARsv2_0740	chr14	33349939	33350254	NPAS3	chr14	33349722	33350223	284
HARsv2_0749	chr14	33792601	33792837	NPAS3	chr14	33792602	33793103	235
HARsv2_0769	chr14	45799589	45799803	MIS18BP1;LINC00871	chr14	45799608	45800109	195
HARsv2_0772	chr14	47674137	47674677	MDGA2	chr14	47674076	47674577	440
HARsv2_0776	chr14	48876992	48877014	LINC00648;RPS29	chr14	48876885	48877386	22
HARsv2_0806	chr14	79293830	79294063	NRXN3	chr14	79293471	79293972	142
HARsv2_0814	chr14	81681397	81681713	LINC01467;NONE	chr14	81681391	81681892	316
HARsv2_0820	chr14	83129126	83129359	LINC01467;NONE	chr14	83129150	83129651	209
HARsv2_0842	chr14	104093506	104093605	ASPG	chr14	104093538	104094039	67
HARsv2_0859	chr15	35211938	35212218	ZNF770;ANP32AP1	chr15	35211473	35211974	36
HARsv2_0880	chr15	37045663	37046182	MEIS2	chr15	37046093	37046594	89
HARsv2_0894	chr15	59741122	59741301	BNIP2;FOXB1	chr15	59741238	59741739	63
HARsv2_0920	chr15	75453904	75454429	SIN3A	chr15	75453828	75454329	425
HARsv2_0953	chr15	97652889	97653016	LOC101927310;LINC00923	chr15	97652557	97653058	127
HARsv2_0964	chr16	6446983	6447230	RBFOX1	chr16	6446903	6447404	247
HARsv2_0985	chr16	17850721	17851018	XYLT1;NPIPA7	chr16	17850887	17851388	131
HARsv2_1067	chr16	80045958	80046209	LINC01229;LOC102724084	chr16	80045965	80046466	244
HARsv2_1074	chr16	82627815	82628095	CDH13	chr16	82627430	82627931	116
HARsv2_1080	chr16	85365994	85366724	MIR5093;GSE1	chr16	85366009	85366510	501
HARsv2_1126	chr17	57598228	57598520	MSI2	chr17	57597770	57598271	43
HARsv2_1153	chr18	908419	909169	ADCYAP1	chr18	908100	908601	182
HARsv2_1158	chr18	3499007	3499552	DLGAP1	chr18	3498919	3499420	413
HARsv2_1174	chr18	25679596	25679986	ZNF521;SS18	chr18	25679527	25680028	390
HARsv2_1176	chr18	26335479	26336460	TAF4B	chr18	26335532	26336033	501
HARsv2_1184	chr18	32771331	32771440	KLHL14	chr18	32771106	32771607	109
HARsv2_1189	chr18	37669137	37669407	MIR4318;LINC00669	chr18	37669062	37669563	270
HARsv2_1190	chr18	37714784	37714955	MIR4318;LINC00669	chr18	37714554	37715055	171
HARsv2_1217	chr18	41879675	41879816	KC6;PIK3C3	chr18	41879210	41879711	36
HARsv2_1225	chr18	45291880	45292671	SLC14A2	chr18	45291781	45292282	402
HARsv2_1232	chr18	48208729	48209019	ZBTB7C;CTIF	chr18	48208630	48209131	290
HARsv2_1245	chr18	56332474	56332659	LINC01539;TXNL1	chr18	56332367	56332868	185
HARsv2_1267	chr18	73549268	73549315	LOC100505817;FBXO15	chr18	73549137	73549638	47
HARsv2_1278	chr18	78248052	78248235	LINC01029;SALL3	chr18	78248141	78248642	94
HARsv2_1313	chr2	11391805	11391826	ROCK2;LINC00570	chr2	11391573	11392074	21
HARsv2_1325	chr2	21519423	21519654	APOB;LOC645949	chr2	21519357	21519858	231
HARsv2_1328	chr2	21757748	21758478	LOC645949;LOC102723362	chr2	21757905	21758406	501
HARsv2_1330	chr2	22329088	22329838	LOC645949;LOC102723362	chr2	22329174	22329675	501
HARsv2_1346	chr2	31075608	31075652	GALNT14	chr2	31075394	31075895	44
HARsv2_1374	chr2	58054993	58055701	VRK2	chr2	58055036	58055537	501
HARsv2_1423	chr2	107986149	107986659	SLC5A7	chr2	107986519	107987020	140
HARsv2_1433	chr2	113890263	113890903	ACTR3	chr2	113890513	113891014	390
HARsv2_1444	chr2	121075207	121075564	GLI2;TFCP2L1	chr2	121075267	121075768	297
HARsv2_1454	chr2	134360689	134360979	MGAT5	chr2	134360622	134361123	290
HARsv2_1468	chr2	143726251	143726401	ARHGAP15	chr2	143726165	143726666	150
HARsv2_1487	chr2	147198244	147199008	PABPC1P2;ACVR2A	chr2	147198598	147199099	410
HARsv2_1517	chr2	170823007	170823211	GAD1	chr2	170823014	170823515	197
HARsv2_1525	chr2	175569173	175569365	ATP5G3;KIAA1715	chr2	175568871	175569372	192
HARsv2_1547	chr2	189441478	189441505	WDR75	chr2	189441160	189441661	27
HARsv2_1551	chr2	191918493	191918528	SDPR;TMEFF2	chr2	191918151	191918652	35
HARsv2_1553	chr2	194486456	194486606	LOC101927406;LOC101927431	chr2	194486169	194486670	150
HARsv2_1560	chr2	202123242	202123482	KIAA2012	chr2	202123284	202123785	198
HARsv2_1562	chr2	204265029	204265172	ICOS;PARD3B	chr2	204264668	204265169	140
HARsv2_1572	chr2	205892317	205892437	NRP2;INO80D	chr2	205892308	205892809	120
HARsv2_1582	chr2	211534483	211535084	ERBB4	chr2	211534526	211535027	501
HARsv2_1595	chr2	216636797	216636900	IGFBP2	chr2	216636875	216637376	25
HARsv2_1597	chr2	217905437	217905687	TNS1	chr2	217905097	217905598	161
HARsv2_1616	chr2	229273399	229273651	PID1;DNER	chr2	229273648	229274149	3
HARsv2_1620	chr2	237315617	237315847	COPS8;COL6A3	chr2	237315463	237315964	230
HARsv2_1621	chr20	675745	675937	SCRT2	chr20	675703	676204	192
HARsv2_1622	chr20	728331	728421	SCRT2;SLC52A3	chr20	728275	728776	90
HARsv2_1645	chr20	15930132	15930236	LOC613266	chr20	15930220	15930721	16
HARsv2_1685	chr20	61694940	61695124	CDH4	chr20	61694605	61695106	166
HARsv2_1695	chr21	16071060	16071470	MIR99AHG	chr21	16071082	16071583	388
HARsv2_1751	chr3	2096041	2096473	CNTN6;CNTN4	chr3	2096165	2096666	308
HARsv2_1752	chr3	2099916	2100391	CNTN4	chr3	2099988	2100489	403
HARsv2_1753	chr3	2269134	2269367	CNTN4	chr3	2268748	2269249	115
HARsv2_1762	chr3	5426279	5426459	MIR4790;GRM7-AS3	chr3	5426230	5426731	180
HARsv2_1766	chr3	7919993	7920243	GRM7;LOC101927394	chr3	7920165	7920666	78
HARsv2_1772	chr3	16885059	16885256	PLCL2	chr3	16885138	16885639	118
