seqnames	start	end	hg38_base_position	rsid	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	2443205	2443705	2443319	rs4648844	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2425980	2505532	79553	1	9651	17225	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602853	rs6674407	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6602689	6603189	6602971	rs78728410	5' UTR	1	6613731	6624030	10300	1	148479	-10542	ENSG00000116273	PHF13	PHD finger protein 13
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	6625424	6625924	6625714	rs12127191	Intron (ENST00000054650.8/90326, intron 2 of 5)	1	6624866	6635586	10721	1	90326	558	ENSG00000041988	THAP3	THAP domain containing 3
chr1	8424081	8424581	8424168	rs159961	Promoter	1	8424645	8435013	10369	1	102724552	-64	NA	RERE-AS1	RERE antisense RNA 1
chr1	28552715	28553215	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28552715	28553215	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28552715	28553215	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28552715	28553215	28553045	rs78405969	Promoter	1	28553085	28578545	25461	1	54952	0	ENSG00000180098	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
chr1	28648699	28649199	28648889	rs9426296	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28648889	rs9426296	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28648889	rs9426296	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28648889	rs9426296	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28649120	rs72663818	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28649120	rs72663818	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	28648699	28649199	28649120	rs72663818	Promoter	1	28648600	28648733	134	1	26824	99	ENSG00000274978	RNU11	RNA, U11 small nuclear
