HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3011885	3012386	330
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012420	3012921	96
HARsv2_0011	chr1	19341806	19342441	CAPZB	chr1	19341382	19341883	77
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386734	20387235	179
HARsv2_0015	chr1	25561377	25561394	LDLRAP1	chr1	25561040	25561541	17
HARsv2_0025	chr1	44019475	44019732	SLC6A9	chr1	44019580	44020081	152
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631505	44632006	83
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499585	48500086	293
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327866	53328367	38
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526673	53527174	49
HARsv2_0038	chr1	54259707	54259997	SSBP3	chr1	54259723	54260224	274
HARsv2_0044	chr1	57600841	57600943	DAB1	chr1	57600393	57600894	53
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087906	63088407	212
HARsv2_0061	chr1	71196931	71197360	ZRANB2-AS2	chr1	71196706	71197207	276
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820954	87821455	81
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88461409	88461910	215
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88461953	88462454	501
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462462	88462963	218
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025603	101026104	111
HARsv2_0111	chr1	101155362	101155501	LOC102606465;LOC101928370	chr1	101155033	101155534	139
HARsv2_0125	chr1	116311738	116312318	MAB21L3;ATP1A1	chr1	116311737	116312238	500
HARsv2_0143	chr1	164563928	164564046	PBX1	chr1	164563924	164564425	118
HARsv2_0157	chr1	178394460	178394756	RASAL2	chr1	178394358	178394859	296
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183405	216183906	494
HARsv2_0194	chr1	217857200	217857477	SPATA17	chr1	217857175	217857676	277
HARsv2_0204	chr1	237044260	237044635	RYR2	chr1	237044236	237044737	375
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475968	243476469	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245156987	245157488	117
HARsv2_0213	chr1	245688118	245688648	KIF26B	chr1	245688054	245688555	437
HARsv2_0217	chr10	1667570	1667705	ADARB2	chr10	1667327	1667828	135
HARsv2_0218	chr10	2075293	2075493	MIR6072	chr10	2075214	2075715	200
HARsv2_0237	chr10	10432275	10432538	LOC101928322	chr10	10432215	10432716	263
HARsv2_0243	chr10	16458291	16458612	PTER	chr10	16458427	16458928	185
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949450	35949951	459
HARsv2_0269	chr10	71353923	71354113	SLC29A3	chr10	71353541	71354042	119
