HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3011894	3012395	339
HARsv2_0002	chr1	3012056	3012516	TTC34;ACTRT2	chr1	3012453	3012954	63
HARsv2_0013	chr1	20386867	20387046	LINC01141	chr1	20386719	20387220	179
HARsv2_0025	chr1	44019475	44019732	SLC6A9	chr1	44019422	44019923	257
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631496	44631997	74
HARsv2_0030	chr1	48499475	48499878	SPATA6;AGBL4	chr1	48499643	48500144	235
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327867	53328368	38
HARsv2_0037	chr1	53526846	53526895	GLIS1	chr1	53526747	53527248	49
HARsv2_0054	chr1	63087861	63088118	ATG4C;LINC00466	chr1	63087928	63088429	190
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820440	87820941	501
HARsv2_0092	chr1	87820275	87821035	LINC01364;PKN2-AS1	chr1	87820956	87821457	79
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462481	88462982	199
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025619	101026120	95
HARsv2_0111	chr1	101155362	101155501	LOC102606465;LOC101928370	chr1	101155112	101155613	139
HARsv2_0125	chr1	116311738	116312318	MAB21L3;ATP1A1	chr1	116311750	116312251	501
HARsv2_0157	chr1	178394460	178394756	RASAL2	chr1	178394443	178394944	296
HARsv2_0187	chr1	216183412	216184006	USH2A	chr1	216183025	216183526	114
HARsv2_0194	chr1	217857200	217857477	SPATA17	chr1	217857175	217857676	277
HARsv2_0209	chr1	243476286	243476360	SDCCAG8	chr1	243475945	243476446	74
HARsv2_0211	chr1	245157315	245157432	KIF26B	chr1	245157004	245157505	117
HARsv2_0238	chr10	10844895	10845180	SFTA1P;LINC00710	chr10	10844741	10845242	285
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949123	35949624	132
HARsv2_0258	chr10	35949492	35950111	LINC01452;ANKRD30A	chr10	35949685	35950186	426
HARsv2_0269	chr10	71353923	71354113	SLC29A3	chr10	71353514	71354015	92
HARsv2_0283	chr10	78663843	78664013	LINC00595;ZMIZ1-AS1	chr10	78663771	78664272	170
HARsv2_0284	chr10	82192020	82192376	NRG3	chr10	82191579	82192080	60
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513672	96514173	95
HARsv2_0326	chr10	125124276	125124426	CTBP2	chr10	125123795	125124296	20
HARsv2_0345	chr11	8357103	8357324	LMO1;STK33	chr11	8357069	8357570	221
HARsv2_0355	chr11	17765373	17765683	KCNC1	chr11	17764960	17765461	88
HARsv2_0369	chr11	31809216	31809243	PAX6	chr11	31808745	31809246	27
HARsv2_0392	chr11	47021642	47021869	C11orf49	chr11	47021312	47021813	171
HARsv2_0407	chr11	86588478	86588838	ME3	chr11	86588442	86588943	360
HARsv2_0420	chr11	100576644	100576929	CNTN5;ARHGAP42	chr11	100576367	100576868	224
HARsv2_0433	chr11	114229042	114229488	ZBTB16	chr11	114229020	114229521	446
